round,basin,data_row_count,feature_quantity,feature_list,k_options,best_k,target_variable_variance,mse,rmse,mae,r2,within_5_percent,within_15_percent,within_25_percent,within_50_percent,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
01_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3]",3,22587.95,636.25,25.22,14.37,0.97,58.33,70.83,79.17,95.83,1.52,79.52,0.47,2.48,20.57,36795.58
03_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",5,22587.95,1477.6,38.44,22.28,0.93,54.17,62.5,75.0,79.17,3.42,115.51,0.49,4.26,28.7,33920.15
04_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",4,19089.27,1555.07,39.43,22.05,0.92,62.5,62.5,68.75,81.25,2.94,41.85,0.48,2.15,36.69,32529.19
06_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[3, 4, 5]",5,18070.48,1688.8,41.1,22.94,0.91,60.0,65.0,75.0,75.0,1.18,120.22,0.49,3.6,30.7,34706.44
07_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[3, 4, 5, 6, 7, 8, 9]",6,18070.48,2056.05,45.34,23.04,0.89,60.0,70.0,70.0,75.0,0.3,156.74,0.46,1.77,30.58,34389.2
02_pca,Gulf Coast,888,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,5656.33,701.87,26.49,10.26,0.88,43.26,62.36,75.84,87.08,0.3,5651.07,0.96,3.41,10.58,8550.03
05_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",3,23388.79,3287.6,57.34,30.54,0.86,56.25,62.5,65.62,81.25,1.8,215.48,0.41,3.03,48.67,45871.5
02_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3]",3,19089.27,2609.92,51.09,24.36,0.86,56.25,75.0,81.25,81.25,4.38,47.8,0.46,1.78,14.75,37458.18
01_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,10058.07,1563.24,39.54,11.87,0.84,62.82,78.21,80.77,84.62,0.0,507.84,0.11,0.82,4.16,6692.89
02_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,11150.8,1928.25,43.91,12.4,0.83,67.31,76.92,82.69,90.38,0.0,507.84,0.03,0.42,3.24,6455.26
01_wi_nc,Fort Worth,10,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3]",1,101.54,17.62,4.2,3.37,0.83,0.0,33.33,66.67,66.67,8.0,324.53,1.62,2.0,4.44,317.27
