Element,Model,MSE,MAE,R2,Explained Variance
Ca,MLPRegressor,2586448.771100168,469.93724119543253,0.975863948078629,0.97604863199899
Mg,RandomForestRegressor,986185.9208877743,275.05472576640346,0.5017929942547016,0.5017930387258667
HCO3,MLPRegressor,150744.81858675438,219.9976282548303,0.6593188966764483,0.6724195584490349
DEPTHUPPER,RandomForestRegressor,6742096.478229044,1972.6101003345086,0.29504001654272827,0.29576335779528784
SO4,RandomForestRegressor,316532.6045523131,207.3828602234987,0.60458324611005,0.6045835966502987
FeTot,MLPRegressor,59121.150865501346,82.58469665835788,0.26367050926198,0.26522897972876835
Ba,RandomForestRegressor,25933.84330771608,75.7337630455267,0.2110766182432825,0.21280309965086375
Sr,MLPRegressor,368694.571707015,232.28911722427844,0.6415869753477494,0.6422586161130903
Br,RandomForestRegressor,655329.3800229853,383.4923481651994,0.7757748705867779,0.7773355645229139
B,MLPRegressor,1927.771280539067,27.912606460033423,0.6268037751070783,0.6269855410280649
Zn,RandomForestRegressor,2687.866304971817,27.192314043193683,0.5928140867426545,0.5929446771318141
