method,data_input,Basin,data_row_count,feature_quantity,feature_list,k_options,best_k,Explained Variance,MSE,RMSE,MAE,R2,% of Predicted ±5% of Actual,% of Predicted ±15% of Actual,% of Predicted ±25% of Actual,% of Predicted ±50% of Actual,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
knn,pca,Appalachian,652,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",2,3653.63,2704.31,52.0,25.84,0.26,25.19,48.09,64.12,80.92,0.0,3818.92,3.38,10.2,22.8,3864.63
knn,pca,Permian,481,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,5085.17,4861.63,69.73,15.57,0.04,16.49,44.33,65.98,91.75,0.81,879.17,2.0,4.33,7.77,1053.12
knn,pca,Oklahoma Platform,254,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,314.13,229.3,15.14,10.23,0.27,23.53,29.41,43.14,68.63,0.94,294.28,2.07,8.24,13.97,140.1
knn,pca,Gulf Coast,888,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,5656.33,701.87,26.49,10.26,0.88,43.26,62.36,75.84,87.08,0.3,5651.07,0.96,3.41,10.58,8550.03
knn,pca,Williston,502,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",1,2304.89,1846.21,42.97,13.28,0.2,41.58,66.34,75.25,85.15,0.0,26215.79,0.0,2.9,8.0,1525.5
knn,pca,Michigan,150,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,399.73,100.73,10.04,6.82,0.75,23.33,36.67,50.0,86.67,0.22,850.0,1.52,5.82,7.92,141.43
knn,pca,Pacific,145,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",2,10.36,5.17,2.27,1.21,0.5,27.59,48.28,58.62,72.41,1.28,7382.35,0.09,0.52,1.28,4.1
knn,pca,Illinois,25,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,191.2,146.06,12.09,8.86,0.24,20.0,40.0,40.0,60.0,0.78,241.94,2.33,5.25,14.7,103.21
knn,pca,Great Plains,62,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",2,37307.22,40328.95,200.82,57.54,-0.08,76.92,92.31,92.31,92.31,2.21,99.31,0.31,1.5,3.0,9.4
knn,pca,Anadarko,262,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,9955.09,3246.03,56.97,15.74,0.67,50.94,73.58,79.25,84.91,0.0,230.96,0.39,1.23,5.0,7167.68
knn,pca,Rocky Mountain,693,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",2,214.52,78.5,8.86,4.14,0.63,13.67,47.48,61.15,74.82,0.0,2100.0,0.5,1.5,4.25,94.19
knn,pca,Fort Worth,17,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,1225.54,882.4,29.71,16.76,0.28,25.0,25.0,75.0,75.0,31.51,169.65,2.85,3.58,17.49,57.72
