method,data_input,Basin,data_row_count,feature_quantity,feature_list,k_options,best_k,Explained Variance,MSE,RMSE,MAE,R2,% of Predicted ±5% of Actual,% of Predicted ±15% of Actual,% of Predicted ±25% of Actual,% of Predicted ±50% of Actual,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
knn,no_pca,Appalachian,652,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",1,3653.63,1007.41,31.74,18.0,0.72,34.35,58.78,67.18,82.44,0.0,1513.64,2.2,7.1,24.1,3486.85
knn,no_pca,Permian,481,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,5085.17,4763.87,69.02,15.98,0.06,17.53,40.21,60.82,88.66,0.57,520.67,1.8,5.0,8.75,1088.28
knn,no_pca,Oklahoma Platform,254,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,314.13,278.05,16.67,11.81,0.11,11.76,23.53,39.22,54.9,0.47,344.37,3.29,8.16,16.23,140.53
knn,no_pca,Gulf Coast,888,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,5656.33,2008.79,44.82,12.25,0.64,41.57,69.1,78.09,86.52,0.2,5744.4,1.04,3.01,8.46,8659.87
knn,no_pca,Williston,502,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,2304.89,198.65,14.09,7.99,0.91,38.61,60.4,74.26,85.15,0.0,26215.79,0.5,3.72,9.4,1546.53
knn,no_pca,Michigan,150,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,399.73,152.85,12.36,8.74,0.62,13.33,33.33,50.0,76.67,2.56,1255.0,2.43,5.88,10.3,139.27
knn,no_pca,Pacific,145,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,10.36,3.01,1.74,0.95,0.71,31.03,41.38,51.72,82.76,1.02,8449.02,0.1,0.55,0.88,4.07
knn,no_pca,Illinois,25,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,191.2,34.58,5.88,4.61,0.82,20.0,60.0,60.0,80.0,16.0,40.09,1.72,2.4,8.5,110.4
knn,no_pca,Great Plains,62,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,37307.22,39732.89,199.33,56.55,-0.07,84.62,92.31,92.31,92.31,0.0,98.58,0.47,1.33,2.08,8.77
knn,no_pca,Anadarko,262,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,9955.09,3362.41,57.99,16.12,0.66,58.49,73.58,77.36,84.91,0.0,267.78,0.07,0.77,6.0,5052.1
knn,no_pca,Rocky Mountain,693,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,214.52,60.41,7.77,3.47,0.72,15.83,50.36,67.63,76.98,0.0,650.0,0.5,1.15,3.5,74.79
knn,no_pca,Fort Worth,17,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,1225.54,958.34,30.96,16.96,0.22,25.0,50.0,75.0,75.0,52.36,163.47,1.32,2.48,18.13,88.95
