method,data_input,Basin,data_row_count,feature_quantity,feature_list,kernel_options,best_kernel,c_options,best_c,epsilon_options,best_epsilon,Explained Variance,MSE,RMSE,MAE,R2,% of Predicted ±5% of Actual,% of Predicted ±15% of Actual,% of Predicted ±25% of Actual,% of Predicted ±50% of Actual,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
svr,pca,Appalachian,652,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,3942.02,2124.9,46.1,20.75,0.46,26.99,59.51,69.94,82.82,0.28,4922.94,3.19,7.27,19.93,3156.63
svr,pca,Permian,481,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",5,"[0.01, 0.05, 0.1, 0.2]",0.2,4106.05,4045.31,63.6,13.97,0.01,15.7,46.28,63.64,81.82,0.51,1000.66,1.91,3.72,7.98,964.51
svr,pca,Oklahoma Platform,254,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,308.4,190.69,13.81,10.11,0.38,12.5,23.44,39.06,67.19,5.11,330.54,3.64,7.75,13.84,133.9
svr,pca,Gulf Coast,888,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,19313.62,12733.49,112.84,16.69,0.34,50.45,72.07,78.83,91.44,0.78,1538.96,0.93,2.67,10.61,4752.45
svr,pca,Williston,502,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,2013.45,632.3,25.15,11.37,0.69,22.22,52.38,65.87,83.33,0.6,28384.84,1.94,4.35,10.35,2180.13
svr,pca,Michigan,150,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",5,"[0.01, 0.05, 0.1, 0.2]",0.01,338.18,184.27,13.57,10.53,0.46,5.26,18.42,23.68,76.32,0.88,1102.91,6.47,8.6,11.53,150.48
svr,pca,Pacific,145,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.05,8.38,3.0,1.73,0.89,0.64,18.92,40.54,62.16,83.78,1.78,3952.91,0.19,0.49,0.68,2.06
svr,pca,Illinois,25,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",10,"[0.01, 0.05, 0.1, 0.2]",0.01,155.89,167.06,12.93,9.82,-0.07,0.0,14.29,14.29,57.14,9.61,381.85,4.27,7.25,11.76,75.52
svr,pca,Great Plains,62,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.1,30765.01,32504.45,180.29,47.13,-0.06,56.25,93.75,93.75,93.75,1.74,185.73,0.61,2.38,3.72,5.69
svr,pca,Anadarko,262,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,8090.75,5017.56,70.83,18.43,0.38,37.88,65.15,72.73,80.3,1.33,972.92,0.74,1.69,7.26,8553.25
