IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
17453,Shale,Shale Gas,Woodford,11296.0,35.66653,-98.21209,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Draper 7-25H,35017243250000.0,10787.0,,Mississippian,2012-12-05,7.2,56.220000000000006,2.42,267.56,866.0,40.0,6000.0,17.0,0.0,,10.0,4221.0,142.0,7.1461,0.84088,0.0,Anadarko,2.804384015807283
17467,Shale,Shale Gas,Woodford,19673.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,6244.2,,Mississippian,2011-09-20,7.0,24.982,22.0,197.33,1098.0,64.0,11000.0,19.0,0.0,,24.0,7429.0,17.0,23.226,0.1146599999999999,0.0,Anadarko,1.5192806901183387
17468,Shale,Shale Gas,Woodford,20478.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,7400.2,,Mississippian,2012-01-16,6.8,71.27799999999999,8.0,79.72999999999999,1708.0,56.0,11000.0,22.0,0.0,,29.0,7655.0,363.819,9.883,0.7208699999999999,0.0,Anadarko,1.981377829307727
17470,Shale,Shale Gas,Woodford,19306.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,4526.8,,Mississippian,2012-03-15,6.7,19.3793,15.0,40.838,830.0,64.0,11000.0,38.0,0.0,,10.0,7349.0,453.007,12.9786,0.6593099999999998,0.0,Anadarko,1.4840977255886239
17471,Shale,Shale Gas,Woodford,18156.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,9694.8,,Mississippian,2012-04-26,7.1,44.78000000000001,6.0,59.010000000000005,1195.0,56.0,10000.0,29.0,0.0,,19.0,6839.0,12.0,11.383,0.0742299999999999,0.0,Anadarko,1.8548364416102994
17491,Shale,Shale Gas,Woodford,10409.0,35.66681,-98.23963,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Base 2-26H,35017243300000.0,3382.9,,Mississippian,2012-10-26,6.9,10.89,13.050999999999998,15.117,878.0,64.0,5500.0,33.0,0.0,,34.0,3805.0,95.0,3.772,6.17974,0.0,Anadarko,9.487839767543045
17495,Shale,Shale Gas,Woodford,12611.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,5421.5,,Mississippian,2011-05-26,6.4,17.412,4.808,24.992,1708.0,56.0,6000.0,36.0,0.0,,29.0,4534.0,248.0,5.6610000000000005,0.5418100000000001,0.0,Anadarko,5.922385962483524
17496,Shale,Shale Gas,Woodford,14070.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,5251.7,,Mississippian,2011-06-16,6.2,21.3,1.0,29.72,1708.0,48.0,7000.0,39.0,0.0,,22.0,5140.0,112.0,20.409,0.07759,0.0,Anadarko,6.483579541060325
17497,Shale,Shale Gas,Woodford,13482.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,10958.6,,Mississippian,2011-10-10,7.3,78.87,4.0,28.753,1366.0,32.0,7000.0,12.0,0.0,,10.0,5017.0,41.0,16.047,0.17067,0.0,Anadarko,18.445344263003282
17498,Shale,Shale Gas,Woodford,17414.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,7288.8,,Mississippian,2012-01-20,6.9,40.107,1.0,64.696,1830.0,56.0,9000.0,36.0,0.0,,22.0,6436.0,33.0,13.319,0.1079199999999999,0.0,Anadarko,1.050101509951512
17499,Shale,Shale Gas,Woodford,13127.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,11458.4,,Mississippian,2012-05-16,6.8,66.82300000000001,4.673,26.64,1122.0,24.0,7000.0,9.0,0.0,,5.0,4939.0,28.0,16.835,0.16857,0.0,Anadarko,16.978295522722867
17500,Shale,Shale Gas,Woodford,12819.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,5581.1,,Mississippian,2012-09-21,7.1,22.528,9.139,25.19,903.0,24.0,7000.0,9.0,0.0,,5.0,4854.0,24.0,16.889000000000003,0.05852,0.0,Anadarko,8.902679514202507
17522,Shale,Shale Gas,Woodford,17374.0,35.50086,-98.14371,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Eaton 1-22H,35017242420000.0,7264.0,,Mississippian,2011-10-10,7.2,38.993,3.0,81.35,1147.0,72.0,9500.0,23.0,0.0,,15.0,6524.0,90.0,12.089,2.11139,0.0,Anadarko,1.8835203969744307
17523,Shale,Shale Gas,Woodford,16622.0,35.50086,-98.14371,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Eaton 1-22H,35017242420000.0,7765.6,,Mississippian,2012-02-23,6.2,35.346,1.0,270.03000000000003,1222.0,64.0,9000.0,28.0,0.0,,19.0,6220.0,68.0,48.849568,0.1392,0.0,Anadarko,1.328153376247583
17525,Shale,Shale Gas,Woodford,16583.0,35.50086,-98.14371,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Eaton 1-22H,35017242420000.0,5535.5,,Mississippian,2012-05-21,6.2,20.558,7.2,66.36,1220.0,72.0,9000.0,33.0,0.0,,53.0,6143.0,62.0,12.159,0.1240199999999999,0.0,Anadarko,1.1479589422848078
17526,Shale,Shale Gas,Woodford,16059.0,35.50086,-98.14371,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Eaton 1-22H,35017242420000.0,5360.9,,Mississippian,2012-09-20,7.1,20.059,5.61,70.92,830.0,64.0,9000.0,22.0,0.0,,19.0,6067.0,57.0,12.574000000000002,0.09014,0.0,Anadarko,1.258219415840278
17542,Shale,Shale Gas,Woodford,11717.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,8407.2,,Mississippian,2010-09-15,7.2,21.910500000000003,3.8,27.288,1135.0,88.0,6000.0,2.0,0.0,,24.0,4268.0,200.0,8.263,0.6544,0.0,Anadarko,8.427568744410777
17543,Shale,Shale Gas,Woodford,13223.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,6854.0,,Mississippian,2010-10-18,7.6,25.054,3.0,22.686,1080.0,72.0,7000.0,16.0,0.0,,24.0,4887.0,144.0,20.356,0.3983899999999999,0.0,Anadarko,5.092313010758871
17544,Shale,Shale Gas,Woodford,18325.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,6236.4,,Mississippian,2010-11-18,7.1,25.148,8.0,50.746,1195.0,72.0,10000.0,14.0,0.0,,24.0,6872.0,140.0,11.384000000000002,0.68301,0.0,Anadarko,1.5290117895326243
17545,Shale,Shale Gas,Woodford,17989.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,6552.15,,Mississippian,2011-04-04,6.8,28.71,4.0,82.03,972.0,72.0,10000.0,23.0,0.0,,19.0,6786.0,113.0,13.731,0.4240799999999999,0.0,Anadarko,1.258219415840278
17546,Shale,Shale Gas,Woodford,17361.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,3975.0,,Mississippian,2011-06-16,7.4,15.3752,9.0,37.055,1122.0,72.0,9500.0,26.0,0.0,,17.0,6514.0,101.0,11.0883,0.69293,0.0,Anadarko,1.6922156314773904
17547,Shale,Shale Gas,Woodford,18000.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,3731.0,,Mississippian,2011-10-11,7.2,12.033,7.0,17.981,988.0,56.0,10000.0,66.0,0.0,,19.0,6790.0,74.0,8.9183,2.6669,0.0,Anadarko,5.607353518337552
17548,Shale,Shale Gas,Woodford,17612.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,7625.7,,Mississippian,2012-01-17,7.0,31.833,3.0,66.772,732.0,56.0,10000.0,51.0,0.0,,19.0,6689.0,62.0,14.624,0.1287499999999999,0.0,Anadarko,1.328153376247583
17549,Shale,Shale Gas,Woodford,18362.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,5582.9,,Mississippian,2012-03-21,6.7,25.197000000000003,2.0,46.53000000000001,1296.0,56.0,10000.0,23.0,0.0,,15.0,6909.0,61.0,13.135,0.11338,0.0,Anadarko,1.258219415840278
17550,Shale,Shale Gas,Woodford,17646.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,5663.3,,Mississippian,2012-07-27,7.2,26.809,1.0,57.66,793.0,80.0,10000.0,20.0,0.0,,24.0,6673.0,55.0,14.816000000000004,0.04984,0.0,Anadarko,1.258219415840278
17551,Shale,Shale Gas,Woodford,14831.0,35.6024,-98.15076,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ed Haley 1-15H,35017241880000.0,10905.2,,Mississippian,2012-11-08,7.1,154.23700000000002,1.0,205.58,1098.0,72.0,8000.0,10.0,0.0,,24.0,5523.0,103.0,10.7311,0.04131,0.0,Anadarko,11.111010534333584
17576,Shale,Shale Gas,Woodford,13809.0,35.63129,-98.06701,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ella 1-5H,35017242160000.0,7347.2,,Mississippian,2011-04-01,6.1,26.559999999999995,2.405,68.51599999999999,890.0,176.0,7500.0,19.0,0.0,,29.0,5024.0,171.0,10.0989,0.79091,0.0,Anadarko,1.8835203969744307
17577,Shale,Shale Gas,Woodford,16565.0,35.63129,-98.06701,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Ella 1-5H,35017242160000.0,7525.5,,Mississippian,2011-06-17,7.5,35.461,1.0,70.546,1122.0,160.0,9000.0,28.0,0.0,,27.0,6090.0,137.0,9.857,0.7122999999999999,0.0,Anadarko,1.675402491085665
