IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
17453,Shale,Shale Gas,Woodford,11296.0,35.66653,-98.21209,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Draper 7-25H,35017243250000.0,6562.2,,Mississippian,2012-12-05,7.2,20.495,3.303,19.686,866.0,40.0,6000.0,17.0,0.0,,10.0,4221.0,142.0,4.960999999999999,0.44747,0.0,Anadarko,2.583687242701421
17467,Shale,Shale Gas,Woodford,19673.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,4113.8,,Mississippian,2011-09-20,7.0,22.813,22.0,42.846,1098.0,64.0,11000.0,19.0,0.0,,24.0,7429.0,17.0,16.202,0.4364,0.0,Anadarko,2.77774053360306
17468,Shale,Shale Gas,Woodford,20478.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,11198.6,,Mississippian,2012-01-16,6.8,123.518,8.0,121.94,1708.0,56.0,11000.0,22.0,0.0,,29.0,7655.0,192.847,57.424,0.4116000000000001,0.0,Anadarko,13.014936737592155
17470,Shale,Shale Gas,Woodford,19306.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,2149.8,,Mississippian,2012-03-15,6.7,24.364,15.0,87.53999999999999,830.0,64.0,11000.0,38.0,0.0,,10.0,7349.0,30.134,12.352999999999998,4.10607344,0.0,Anadarko,2.354389288189685
17471,Shale,Shale Gas,Woodford,18156.0,35.60252,-98.59511,Oklahoma,Blaine,Anadarko Basin,Midcontinent,Dumas 1-16H,35011233420000.0,6072.5,,Mississippian,2012-04-26,7.1,22.881,6.0,121.43999999999998,1195.0,56.0,10000.0,29.0,0.0,,19.0,6839.0,12.0,19.568000000000005,0.4576399999999999,0.0,Anadarko,2.2663101142746003
17491,Shale,Shale Gas,Woodford,10409.0,35.66681,-98.23963,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Base 2-26H,35017243300000.0,2532.2,,Mississippian,2012-10-26,6.9,9.194,15.041,13.23,878.0,64.0,5500.0,33.0,0.0,,34.0,3805.0,95.0,7.098000000000001,6.36975672,0.0,Anadarko,4.070862083726023
17495,Shale,Shale Gas,Woodford,12611.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,6309.2,,Mississippian,2011-05-26,6.4,15.654,3.5989999999999998,66.104,1708.0,56.0,6000.0,36.0,0.0,,29.0,4534.0,248.0,5.436,0.58148,0.0,Anadarko,1.7026033614792115
17496,Shale,Shale Gas,Woodford,14070.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,7541.2,,Mississippian,2011-06-16,6.2,33.498999999999995,1.0,58.266,1708.0,48.0,7000.0,39.0,0.0,,22.0,5140.0,112.0,4.604999999999999,0.1197,0.0,Anadarko,5.866986099453724
17497,Shale,Shale Gas,Woodford,13482.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,6275.4,,Mississippian,2011-10-10,7.3,13.07,4.0,37.354,1366.0,32.0,7000.0,12.0,0.0,,10.0,5017.0,41.0,4.991,0.05572,0.0,Anadarko,3.483618052027028
17498,Shale,Shale Gas,Woodford,17414.0,35.44207,-98.1831,Oklahoma,Canadian,Anadarko Basin,Midcontinent,Earles 1-8H,35017242470000.0,6715.7,,Mississippian,2012-01-20,6.9,31.182,1.0,155.95094079999998,1830.0,56.0,9000.0,36.0,0.0,,22.0,6436.0,33.0,48.950300000000006,0.09817,0.0,Anadarko,-1.7096808250226858
