IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
67,Shale,Shale Gas,Marcellus,38200.0,41.270892,-76.659691,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201090000.0,8130.5,,Devonian,,,25.824400000000004,428.0,225.760224,558.6809999999999,1530.0,21500.0,15.7,53.4,,164.0,11100.0,1563.775,417.0,0.057,-1.4,Appalachian,29.618532980047586
68,Shale,Shale Gas,Marcellus,82600.0,41.270892,-76.659691,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201090000.0,8064.5,,Devonian,,,98.269,1290.0,299.0,1976.073,4020.0,51900.0,35.2,59.6,,367.0,19800.0,1801.14,1.0,0.01,-13.8,Appalachian,65.10981620415131
106,Shale,Shale Gas,Marcellus,160900.0,41.641765,-80.151797,Pennsylvania,Crawford,Appalachian Basin,Eastern,,,5343.3,,Devonian,,,35.004,0.7,927.0,311.35,13317.4,85117.5,72.6,0.0,,1941.3,34837.0,650.0,103.9,1.3023599999999995,-1.8,Appalachian,28.307940517255172
123,Shale,Shale Gas,Marcellus,57800.0,41.614799,-77.876404,Pennsylvania,Potter,Appalachian Basin,Eastern,,37105216510000.0,5811.4,,Devonian,,,27.796000000000003,1340.0,375.0,888.258,3640.0,37500.0,35.8,0.0,,307.0,12600.0,1385.217,1270.0,0.08773,-13.9,Appalachian,39.79732277122672
124,Shale,Shale Gas,Marcellus,64400.0,41.614799,-77.876404,Pennsylvania,Potter,Appalachian Basin,Eastern,,37105216510000.0,10436.1,,Devonian,,,79.51499999999999,1730.0,445.0,888.0029999999999,4560.0,43900.0,35.4,0.0,,397.0,14900.0,1606.42,1630.0,0.0814,-12.3,Appalachian,55.76328586969356
151,Shale,Shale Gas,Marcellus,186900.0,41.039111,-78.06325,Pennsylvania,Clearfield,Appalachian Basin,Eastern,,37033268340000.0,9489.8,,Devonian,,,125.62,5640.0,3340.0,5884.18,14008.1,96146.8,117.6,0.0,,1325.1,38457.0,602.0450000000001,2679.0,0.5618000000000001,-2.4,Appalachian,69.82146926590312
152,Shale,Shale Gas,Marcellus,167700.0,41.037944,-78.067139,Pennsylvania,Clearfield,Appalachian Basin,Eastern,,37033268500000.0,8226.8,,Devonian,,,44.27399999999999,5270.0,2450.0,4929.3,13016.4,89762.4,72.0,0.0,,1125.3,35744.0,141.51900000000003,4105.0,0.47029,-1.9,Appalachian,79.70832969186057
153,Shale,Shale Gas,Marcellus,227000.0,41.043611,-78.077139,Pennsylvania,Clearfield,Appalachian Basin,Eastern,,37033268510000.0,10335.4,,Devonian,,,292.675,6483.0,2230.0,5080.9,17143.0,105557.4,81.5,0.0,,1528.8,40040.0,193.88,4879.0,1.62239,-1.3,Appalachian,99.85135464755295
154,Shale,Shale Gas,Marcellus,196700.0,41.0425,-78.084222,Pennsylvania,Clearfield,Appalachian Basin,Eastern,,37033268530000.0,8215.8,,Devonian,,,100.29,4990.0,2200.0,4894.4,14221.3,92357.3,169.1,0.0,,1262.8,36566.0,178.28400000000002,4402.0,0.7,-1.1,Appalachian,80.41794397431853
172,Shale,Shale Gas,Marcellus,58900.0,40.79971,-79.597804,Pennsylvania,Armstrong,Appalachian Basin,Eastern,,37005295060000.0,6518.7,,Devonian,,,21.209,117.8,242.094656,346.473,2687.7,33165.0,32.6,0.0,,295.0,15576.0,249.54399999999995,330.0,0.1405,-5.1,Appalachian,21.86670303271018
