IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
86252,Sedimentary,Conventional Hydrocarbon,McMillan,108107.0,31.9435,-99.7242,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,2,42399001220000.0,2528.0,2536.0,,1966-11-10,7.0,34.974000000000004,25.759,285.0,305.0,7165.0,66124.0,38.524,0.0,,818.0,33258.59,123.634,113.974,0.6302134400000001,-0.1,Fort Worth,3.6781311816112905
86253,Sedimentary,Conventional Hydrocarbon,Jenning,127128.0,31.9044,-99.9713,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,1 Spill,42399001850000.0,4086.0,4130.0,,1966-11-08,6.8,14.209,373.452,223.0,290.0,7625.0,77845.0,15.389999999999995,0.0,,915.0,40117.65,1229.503,327.22100000000006,2.7605,-0.1,Fort Worth,3.2482266594775475
86254,Sedimentary,Conventional Hydrocarbon,Capps,115351.0,31.8878,-100.0274,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,2 Parramore,42399105610000.0,3974.0,4010.0,,1966-11-08,7.2,24.083,106.485,206.0,476.0,5160.0,70762.0,6.45,0.0,,1636.0,37068.67,1832.834,104.517,1.10143,0.0,Fort Worth,3.2682342177832635
86805,Sedimentary,Conventional Hydrocarbon,Bend,207082.0,33.65228,-97.80667,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,#2,42337006240000.0,3540.5,,Pennsylvanian,1961-12-04,5.6,34.62,42.484,763.785561,59.0,17800.0,127300.0,63.075,0.0,,2660.0,54260.0,21.0,356.279,3.545900000000002,-1.8,Fort Worth,17.31857026527569
86806,Sedimentary,Conventional Hydrocarbon,Bend,216035.0,33.65188,-97.80068,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,No. 1,42337006230000.0,3178.6,,Pennsylvanian,1961-12-04,5.7,31.212,2.0,804.9889999999999,78.0,17760.0,134000.0,1024.125,0.0,,7084.0,61400.0,12.0,423.28,140.320000076,4.5,Fort Worth,18.060636726111216
86807,Sedimentary,Conventional Hydrocarbon,Cisco,156000.0,33.89891,-97.70987,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,,42337005560000.0,3618.8,,Permian,1963-04-08,5.6,32.13,13.2246,1035.734696,20.0,17700.0,97200.0,58.38000000000001,0.0,,2290.0,44100.0,264.73300000000006,174.22328000000002,0.908,4.3,Fort Worth,19.785222854645063
86809,Sedimentary,Conventional Hydrocarbon,Fusselman,230000.0,33.68761,-97.84083,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Henry #4,42337006190000.0,3889.1,,Silurian,1963-11-18,4.7,6.789999999999999,70.242,661.055,10.0,20500.0,143000.0,330.75300000000004,0.0,,3220.0,63100.0,44.0,558.3570000000001,170.741,0.0,Fort Worth,20.58993435964372
86811,Sedimentary,Conventional Hydrocarbon,Fusselman,229000.0,33.68868,-97.837,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Harry #3,42337006180000.0,5960.0,,Silurian,1963-11-18,,8.047,360.0,548.6589999999999,24.0,19500.0,142000.0,361.649,0.0,,3070.0,63700.0,273.717,1077.3439999999998,176.641,0.0,Fort Worth,33.15551797613117
86812,Sedimentary,Conventional Hydrocarbon,Fusselman,275000.0,33.68868,-97.837,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Harry #3,42337006180000.0,5900.0,,Silurian,1963-12-26,5.4,30.594000000000005,440.0,1376.452272,59.0,19800.0,140000.0,78.65563999999999,0.0,,3150.0,61100.0,146.817,2167.1549,1.8000999999999998,-0.5,Fort Worth,30.461722740036453
86813,Sedimentary,Conventional Hydrocarbon,Ellenburger,122000.0,33.81646,-97.50036,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Wsw #30,42337018650000.0,1000.0,2800.0,Ordovician,1964-10-29,5.7,23.958,45.233,610.532344,61.0,12800.0,76200.0,25.0,0.0,,2490.0,30000.0,20.0,301.11510000000004,0.40330816,-0.1,Fort Worth,17.71404924082471
