IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
21966,Sedimentary,Conventional Hydrocarbon,Unknown,61893.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,5922.4,,,1985-10-03,9.5,27.36,366.524,245.36544,732.0,36.0,36260.0,13.874,0.0,,62.598,24708.0,1158.0,314.52,0.3717,0.8,Great Plains,6.153783798275328
21967,Sedimentary,Conventional Hydrocarbon,Unknown,57318.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,7932.7,,,1985-09-25,9.74,55.42199999999999,115.96840000000002,182.1,1159.0,53.0,31360.0,16.887,0.0,,30.784,21567.0,1070.0,184.175,0.32444,0.8,Great Plains,7.582110303239517
21968,Sedimentary,Conventional Hydrocarbon,Unknown,57318.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,7930.65,,,1985-09-25,9.74,52.001,93.8132,239.7,1147.0,40.0,32340.0,9.846,0.0,,24.819,22225.0,1134.0,222.1188,0.32563,0.7,Great Plains,7.724946732775868
21969,Sedimentary,Conventional Hydrocarbon,Unknown,57318.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,7149.4,,,1985-09-25,9.74,27.366300000000003,178.867,218.36544,1220.0,44.0,32340.0,11.816,0.0,,49.417,22276.0,1117.0,322.076,0.20863,0.8,Great Plains,8.765017936164664
21970,Sedimentary,Conventional Hydrocarbon,Unknown,57318.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,6404.55,,,1985-09-25,9.74,26.6701,145.728,214.5,1049.0,44.0,33320.0,14.85,0.0,,22.919,22897.0,1183.0,218.794,0.31133,0.8,Great Plains,8.318126904076081
21971,Sedimentary,Conventional Hydrocarbon,Unknown,57318.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,10693.4,,,1985-09-25,9.74,78.12700000000001,158.11700000000002,232.66544,1171.0,44.0,33320.0,17.29,0.0,,25.829,22951.0,1161.0,318.037,0.20732,0.9,Great Plains,7.824712385394404
21972,Sedimentary,Conventional Hydrocarbon,Unknown,61893.0,41.77145,-106.90266,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Walcott-federal 20-jan,49007210660000.0,6720.2,,,1985-10-03,9.5,13.099,291.025,267.548,720.0,46.0,35280.0,9.022,0.0,,101.109,24094.0,1177.0,302.379,0.3717,0.9,Great Plains,9.1824640321886
22715,Sedimentary,Conventional Hydrocarbon,Frontier,10437.0,41.63878,-110.71546,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Champlin385amoco-a 1,49023202040000.0,8490.0,,Cretaceous,1994-07-15,7.7,40.481,2.8561,15.5,976.0,118.0,5900.0,21.772,57.0,,11.0,3870.0,209.093,10.61,0.44,-1.6,Great Plains,4.388537015157582
22722,Sedimentary,Undefined,Madison,11649.0,42.01853,-111.00882,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Snow Hollow No 1,49023202260000.0,7317.4,,Mississippian,1977-08-19,8.2,34.5144,4.15525,36.346,354.0,588.0,3700.0,49.194,96.0,,59.0,3420.0,3600.0,20.544400000000003,2.9505,0.1,Great Plains,3.885718334129638
22743,Sedimentary,Conventional Hydrocarbon,Bighorn,66198.0,41.65888,-110.87234,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Road Hollow Unit 4,49023204230000.0,15057.0,15271.0,Ordovician,1981-06-30,9.6,57.336,38.292,93.9,376.0,49.0,218.0,407.4333,4.0,,31.0,310.0,217.0,30.447000000000003,172.8,5.0,Great Plains,4.344365028197135
22744,Sedimentary,Conventional Hydrocarbon,Bighorn,66198.0,41.65888,-110.87234,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Road Hollow Unit 4,49023204230000.0,15057.0,15271.0,Ordovician,1981-06-30,9.6,214.142,1038.267,249.72200000000004,323.0,45.0,636.0,657.713,6.0,,29.0,616.0,276.0,1833.4,71.4,4.3,Great Plains,3.5579211890026583
22745,Sedimentary,Conventional Hydrocarbon,Bighorn,66198.0,41.65888,-110.87234,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Road Hollow Unit 4,49023204230000.0,15057.0,15271.0,Ordovician,1981-06-30,9.6,220.6,575.539,207.27,2409.0,514.0,31800.0,6.052,91.0,,64.0,23900.0,6233.0,169.07799999999995,0.34229,0.3,Great Plains,5.504619093715218
22746,Sedimentary,Conventional Hydrocarbon,Bighorn,66198.0,41.65888,-110.87234,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Road Hollow Unit 4,49023204230000.0,15057.0,15271.0,Ordovician,1981-06-30,9.6,217.681,500.588,262.17,3215.838,114.0,31300.0,8.123999999999999,82.0,,70.85900000000001,24215.0,6033.0,165.792,0.4987099999999998,2.5,Great Plains,5.570430964366313
22747,Sedimentary,Conventional Hydrocarbon,Bighorn,66198.0,41.65888,-110.87234,Wyoming,Lincoln,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Road Hollow Unit 4,49023204230000.0,15057.0,15271.0,Ordovician,1981-06-30,9.6,230.919,607.2679999999999,337.262,1067.0,172.0,32600.0,18.410000000000004,92.0,,1.0,25157.0,6900.0,239.12600000000003,0.3506,1.1,Great Plains,5.49207445293259
