IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
4222,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,40316.0,38.866,-89.532,Illinois,Bond,Illinois Basin,Eastern,,,578.0,593.0,Pennsylvanian,,,34.96,150.26600000000005,80.15257088,54.0,567.0,23926.0,15.527599999999998,0.0,,310.0,14290.0,19.0,68.602,0.7301,-0.1,Illinois,4.191023122716683
4223,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,14169.0,38.919,-87.677,Illinois,Crawford,Illinois Basin,Eastern,,,7696.4,,Pennsylvanian,,,14.344,9.238529,24.182,326.0,249.0,6222.0,1.8,0.0,,214.0,4624.0,2417.0,16.57,0.6709999999999999,0.0,Illinois,6.313055588170203
4224,Sedimentary,Conventional Hydrocarbon,Cypress,55248.0,38.631,-89.419,Illinois,Clinton,Illinois Basin,Eastern,,,1035.0,1068.0,Mississippian,,,22.75,929.13,336.892,1722.0,873.0,32917.0,13.0,0.0,,1161.0,18764.0,5.0,273.65346,0.76891,-0.1,Illinois,6.849309717880459
4225,Sedimentary,Conventional Hydrocarbon,Cypress,128604.0,39.425,-88.387,Illinois,Coles,Illinois Basin,Eastern,,,4729.2,,Mississippian,,6.7,20.717,37.78099999999999,115.62857088,304.0,4875.0,74924.0,37.485,0.0,,1282.0,41398.0,1544.0,69.265,1.18937,0.0,Illinois,5.975011427519798
4227,Sedimentary,Conventional Hydrocarbon,Cypress,119999.0,39.498,-88.407,Illinois,Coles,Illinois Basin,Eastern,,,1766.0,1822.0,Mississippian,,5.2,13.147,124.84675,145.745,161.0,5945.0,71996.0,86.0,0.0,,1441.0,38056.0,1820.0,121.97046,3.8255,0.0,Illinois,10.0403860794835
4229,Sedimentary,Conventional Hydrocarbon,Cypress,111319.0,38.416,-88.015,Illinois,Edwards,Illinois Basin,Eastern,,,2703.0,2722.0,Mississippian,,6.2,24.380000000000003,34.492000000000004,129.015,65.0,4675.0,67248.0,45.0,0.0,,999.0,36560.0,535.0,98.996,1.3677,-0.1,Illinois,3.875829005704785
4230,Sedimentary,Conventional Hydrocarbon,Cypress,113863.0,38.298,-87.965,Illinois,Edwards,Illinois Basin,Eastern,,,2800.2,,Mississippian,,,28.2505,60.359,122.872,91.0,4284.0,69258.0,0.9,0.0,,1104.0,37944.0,46.0,174.04500000000002,5.8017,0.0,Illinois,5.674396283526308
4231,Sedimentary,Conventional Hydrocarbon,Cypress,149318.0,38.95,-88.479,Illinois,Effingham,Illinois Basin,Eastern,,,2473.0,2483.0,Mississippian,,6.4,40.2,58.136,162.189,48.0,5191.0,88901.0,25.0,0.0,,1530.0,48834.0,73.0,218.364,0.4014,0.0,Illinois,6.592789935942108
4232,Sedimentary,Conventional Hydrocarbon,Cypress,136480.0,38.978,-88.409,Illinois,Effingham,Illinois Basin,Eastern,,,2534.0,2575.0,Mississippian,,6.2,18.767000000000003,45.79959999999999,220.65500000000003,64.0,5464.0,80783.0,9.0,0.0,,1205.0,44445.0,1270.0,154.474,1.1977,0.0,Illinois,12.017845188091902
4233,Sedimentary,Conventional Hydrocarbon,Cypress,124667.0,39.153,-88.796,Illinois,Effingham,Illinois Basin,Eastern,,,1552.0,1561.0,Mississippian,,5.1,26.744,41.01,245.8,13.0,4289.0,75820.0,26.0,0.0,,1628.0,41197.0,78.0,312.9141,0.41265672,0.0,Illinois,6.1770417098152155
4234,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,14192.0,38.919,-87.677,Illinois,Crawford,Illinois Basin,Eastern,,,9187.35,,Pennsylvanian,,,22.549,5.286649,23.672,463.0,344.0,6270.0,1.6,0.0,,222.0,4556.0,2372.0,14.2552,0.6529999999999999,0.0,Illinois,6.313055588170203
4235,Sedimentary,Conventional Hydrocarbon,Cypress,125631.0,39.138,-88.796,Illinois,Effingham,Illinois Basin,Eastern,,,1554.0,1589.0,Mississippian,,7.3,26.044,64.811,145.88000000000002,53.0,4030.0,75719.0,17.002000000000002,0.0,,1809.0,41184.0,310.0,184.054,1.3944,0.0,Illinois,5.587330678955859
4236,Sedimentary,Conventional Hydrocarbon,Cypress,124716.0,39.138,-88.796,Illinois,Effingham,Illinois Basin,Eastern,,,1579.0,1590.0,Mississippian,,7.8,6.758,15.894999999999996,109.886644,47.0,4187.0,74649.0,89.373,0.0,,1495.0,40792.0,25.0,90.976,48.2627,0.0,Illinois,3.677395062370579
4237,Sedimentary,Conventional Hydrocarbon,Cypress,129181.0,39.064,-88.852,Illinois,Fayette,Illinois Basin,Eastern,,,1564.0,1570.0,Mississippian,,7.0,28.814,212.881,156.65734400000002,44.0,4349.0,78423.0,17.0,0.0,,1573.0,42825.0,3280.936,107.45400000000002,1.108,-0.1,Illinois,5.0176693257510525
4238,Sedimentary,Conventional Hydrocarbon,Cypress,130055.0,39.064,-88.852,Illinois,Fayette,Illinois Basin,Eastern,,,1559.0,1598.0,Mississippian,,7.0,7.087000000000001,32.767,356.63364399999995,48.0,4920.0,77468.0,513.046,0.0,,1549.0,41733.0,135.0,80.579,61.778000000000006,0.0,Illinois,4.232238628076751
4239,Sedimentary,Conventional Hydrocarbon,Cypress,117034.0,39.006,-88.909,Illinois,Fayette,Illinois Basin,Eastern,,,1574.0,1588.0,Mississippian,,,19.225,28.215,166.96,68.0,3774.0,71541.0,1.7,0.0,,1445.0,39487.0,352.0,303.12728,1.6747,0.0,Illinois,5.861684736330149
