IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
4222,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,40316.0,38.866,-89.532,Illinois,Bond,Illinois Basin,Eastern,,,578.0,593.0,Pennsylvanian,,,26.442,312.75199999999995,113.423,54.0,567.0,23926.0,386.21,0.0,,310.0,14290.0,19.0,105.21399999999998,77.06,-0.1,Illinois,3.2919165351671387
4223,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,14169.0,38.919,-87.677,Illinois,Crawford,Illinois Basin,Eastern,,,4457.1,,Pennsylvanian,,,14.8095,25.03756,22.068,326.0,249.0,6222.0,1.8,0.0,,214.0,4624.0,2417.0,17.531,1.1813999999999998,0.0,Illinois,6.413130173185493
4224,Sedimentary,Conventional Hydrocarbon,Cypress,55248.0,38.631,-89.419,Illinois,Clinton,Illinois Basin,Eastern,,,1035.0,1068.0,Mississippian,,,27.163,120.749,120.778,1722.0,873.0,32917.0,13.0,0.0,,1161.0,18764.0,5.0,186.3908,0.7649701600000001,-0.1,Illinois,5.55437674846323
4225,Sedimentary,Conventional Hydrocarbon,Cypress,128604.0,39.425,-88.387,Illinois,Coles,Illinois Basin,Eastern,,,4989.1,,Mississippian,,6.7,25.075,124.912,123.40800000000002,304.0,4875.0,74924.0,55.42299999999999,0.0,,1282.0,41398.0,1544.0,103.376,1.7241,0.0,Illinois,8.373892173785931
4227,Sedimentary,Conventional Hydrocarbon,Cypress,119999.0,39.498,-88.407,Illinois,Coles,Illinois Basin,Eastern,,,1766.0,1822.0,Mississippian,,5.2,2.5859,113.9287,197.978,161.0,5945.0,71996.0,86.0,0.0,,1441.0,38056.0,1820.0,113.41599999999998,5.378500000000001,0.0,Illinois,11.712551808037482
4229,Sedimentary,Conventional Hydrocarbon,Cypress,111319.0,38.416,-88.015,Illinois,Edwards,Illinois Basin,Eastern,,,2703.0,2722.0,Mississippian,,6.2,21.3,61.9739,122.879,65.0,4675.0,67248.0,45.0,0.0,,999.0,36560.0,535.0,158.93399999999997,1.6866999999999996,-0.1,Illinois,5.040050973300018
4230,Sedimentary,Conventional Hydrocarbon,Cypress,113863.0,38.298,-87.965,Illinois,Edwards,Illinois Basin,Eastern,,,1884.2,,Mississippian,,,28.461,1540.687,458.832,91.0,4284.0,69258.0,0.9,0.0,,1104.0,37944.0,46.0,2110.4,2.62711344,0.0,Illinois,7.37746520678939
4231,Sedimentary,Conventional Hydrocarbon,Cypress,149318.0,38.95,-88.479,Illinois,Effingham,Illinois Basin,Eastern,,,2473.0,2483.0,Mississippian,,6.4,30.971000000000004,30.289,383.6612,48.0,5191.0,88901.0,25.0,0.0,,1530.0,48834.0,73.0,453.9309999999999,1.0725969200000005,0.0,Illinois,8.274694789367743
4232,Sedimentary,Conventional Hydrocarbon,Cypress,136480.0,38.978,-88.409,Illinois,Effingham,Illinois Basin,Eastern,,,2534.0,2575.0,Mississippian,,6.2,14.029999999999998,294.927,160.983,64.0,5464.0,80783.0,9.0,0.0,,1205.0,44445.0,1270.0,278.028,6.479051440000001,0.0,Illinois,13.04028537873861
4233,Sedimentary,Conventional Hydrocarbon,Cypress,124667.0,39.153,-88.796,Illinois,Effingham,Illinois Basin,Eastern,,,1552.0,1561.0,Mississippian,,5.1,22.111,63.209,328.216,13.0,4289.0,75820.0,26.0,0.0,,1628.0,41197.0,78.0,313.80100000000004,1.835,0.0,Illinois,6.52711215863089
4234,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,14192.0,38.919,-87.677,Illinois,Crawford,Illinois Basin,Eastern,,,5490.4,,Pennsylvanian,,,19.279,15.013560000000002,8.860000000000003,463.0,344.0,6270.0,1.6,0.0,,222.0,4556.0,2372.0,11.967899999999998,0.4825,0.0,Illinois,13.551138365589765
4235,Sedimentary,Conventional Hydrocarbon,Cypress,125631.0,39.138,-88.796,Illinois,Effingham,Illinois Basin,Eastern,,,1554.0,1589.0,Mississippian,,7.3,4.26,71.969,128.122,53.0,4030.0,75719.0,16.296,0.0,,1809.0,41184.0,310.0,247.801,29.59,0.0,Illinois,6.2580442494117845
