IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
3579,Sedimentary,Conventional Hydrocarbon,Berea,288600.0,43.5,-84.1,Michigan,Saginaw,Michigan Basin,Eastern,,,2448.0,,Devonian,,,47.87,262.617,1340.0,98.407,41000.0,184000.0,44.719,800.0,,8800.0,51000.0,53.0,1540.0,0.4083699999999999,-1.6,Michigan,22.399167219755093
3580,Sedimentary,Conventional Hydrocarbon,Berea,312900.0,43.4,-84.1,Michigan,Saginaw,Michigan Basin,Eastern,,,2493.0,,Devonian,,,31.4219,456.415,1460.0,60.4322,44000.0,197000.0,84.4,860.0,,9200.0,59000.0,189.118,1750.0,2.6874,0.1,Michigan,27.144579718326707
3581,Sedimentary,Conventional Hydrocarbon,Berea,269400.0,43.5,-84.2,Michigan,Midland,Michigan Basin,Eastern,,,2421.0,,Devonian,,,51.259,311.916,1250.0,28.7785,38000.0,170000.0,82.78599999999999,730.0,,7500.0,51000.0,84.197,1530.0,0.7687999999999999,-0.3,Michigan,24.540277708089004
3582,Sedimentary,Conventional Hydrocarbon,Berea,230100.0,43.5,-84.2,Michigan,Midland,Michigan Basin,Eastern,,,2418.0,,Devonian,,,10.655,161.582,1080.0,43.7704,33000.0,144000.0,139.1983,550.0,,6300.0,44000.0,18.0,1340.0,24.19945,0.6,Michigan,20.95637834877941
3583,Sedimentary,Conventional Hydrocarbon,Berea,306500.0,43.5,-84.3,Michigan,Midland,Michigan Basin,Eastern,,,2388.0,,Devonian,,,42.241,256.223,1310.0,32.5225,41000.0,194000.0,81.80799999999999,700.0,,8100.0,60000.0,198.108,1570.0,0.6738000000000001,-1.0,Michigan,19.564370019604556
3584,Sedimentary,Conventional Hydrocarbon,Berea,304500.0,43.7,-84.5,Michigan,Midland,Michigan Basin,Eastern,,,2372.0,,Devonian,,,36.986,75.167,1180.0,51.976,35000.0,195000.0,638.501,800.0,,7100.0,64000.0,66.0,1210.0,23.26917768,-3.3,Michigan,23.378664255172293
3585,Sedimentary,Conventional Hydrocarbon,Berea,313056.0,43.50523004,-84.41705997,Michigan,Midland,Michigan Basin,Eastern,,,4045.6,,Devonian,,,90.144,35.6666,2000.0,50.15749999999999,45000.0,200000.0,45.556,690.0,,9600.0,54000.0,26.0,1740.0,3.14593492,-2.0,Michigan,18.458827281643458
3586,Sedimentary,Conventional Hydrocarbon,Berea,381248.0,43.51436814,-84.47761137,Michigan,Midland,Michigan Basin,Eastern,,,10003.7,,Devonian,,,59.593,59.457,2000.0,327.307,63000.0,230000.0,708.397,710.0,,12300.0,71000.0,38.0,2200.0,143.612,5.8,Michigan,19.287099845272795
3587,Sedimentary,Conventional Hydrocarbon,Berea,353960.0,43.51616644,-84.47517777,Michigan,Midland,Michigan Basin,Eastern,,,3490.7,,Devonian,,,53.870000000000005,656.0326,1740.0,82.6198,55000.0,220000.0,130.64,2400.0,,10700.0,62000.0,20.0,2100.0,8.113769999999999,1.6,Michigan,41.291258702780894
3588,Sedimentary,Conventional Hydrocarbon,Berea,352222.0,43.91706514,-84.39821897,Michigan,Gladwin,Michigan Basin,Eastern,,,3169.7,,Devonian,,,18.079,156.46,1460.0,61.28,42000.0,210000.0,534.04,630.0,,9400.0,87000.0,72.0,1660.0,63.85500007600001,6.0,Michigan,20.991130908408607
3589,Sedimentary,Conventional Hydrocarbon,Berea,360546.0,43.51603824,-84.42759513,Michigan,Midland,Michigan Basin,Eastern,,,5573.3,,Devonian,,,61.113,278.549,2000.0,481.432,47000.0,210000.0,822.15,720.0,,15100.0,83000.0,26.0,2700.0,31.468000000000007,10.1,Michigan,32.24743442551898
3590,Sedimentary,Conventional Hydrocarbon,Berea,177144.0,43.49796564,-84.41710387,Michigan,Midland,Michigan Basin,Eastern,,,5035.2,,Devonian,,,8.839000000000002,97.67,1070.0,128.45819999999998,27000.0,111000.0,174.605,430.0,,5600.0,31000.0,14.2,1030.0,8.692899999999998,0.7,Michigan,18.996099083683134
3591,Sedimentary,Conventional Hydrocarbon,Berea,327610.0,43.91307134,-84.37809497,Michigan,Gladwin,Michigan Basin,Eastern,,,2834.7,,Devonian,,,24.0,103.391,1390.0,62.057,34000.0,210000.0,606.85,1090.0,,7800.0,72000.0,70.0,1260.0,59.17317768,-3.6,Michigan,26.826394518007135
3593,Sedimentary,Conventional Hydrocarbon,Kettle Point,14291.0,42.8,-82.4,Ontario,,Eastern-Canada,Eastern-Canada,,,171.0,,Devonian,,,10.716,24.643,6.6,1210.0,127.0,8600.0,139.066,31.0,,120.0,5400.0,1.2,5.3,22.777232000000005,-2.0,Michigan,9.917899108899693
3596,Shale,Shale Gas,Antrim,122169.0,44.93364194,-85.07415087,Michigan,Antrim,Michigan Basin,Eastern,,,3435.7,,Devonian,,6.6,27.521000000000004,143.3548,179.0,24.0,3300.0,74000.0,36.92,370.0,,2100.0,42000.0,1365.793,220.0,1.61,2.1,Michigan,5.72009879313827
3597,Shale,Shale Gas,Antrim,241700.0,44.99029739,-85.10826941,Michigan,Antrim,Michigan Basin,Eastern,,,3753.1,,Devonian,,6.2,29.455,153.352,310.0,4.9,6800.0,147000.0,73.334,670.0,,3600.0,83000.0,1099.799,320.0,1.5696,1.4,Michigan,19.174916648554696
3598,Shale,Shale Gas,Antrim,205760.0,44.99029739,-85.10826941,Michigan,Antrim,Michigan Basin,Eastern,,,2332.1,,Devonian,,5.9,21.135,43.479,450.0,15.6,7700.0,128000.0,42.376,490.0,,4700.0,64000.0,1133.198,420.0,3.642,-0.5,Michigan,11.867205963306766
3599,Sedimentary,Conventional Hydrocarbon,Hamilton,18646.0,42.8,-82.4,Ontario,,Eastern-Canada,Eastern-Canada,,,348.0,,Devonian,,,18.5934,19.689,21.0,400.0,370.0,11500.0,6.1240000000000006,67.0,,210.0,5900.0,570.0,8.0,2.2842,-7.7,Michigan,3.585897583960261
3600,Sedimentary,Conventional Hydrocarbon,Hamilton,10575.0,42.8,-82.4,Ontario,,Eastern-Canada,Eastern-Canada,,,253.0,,Devonian,,,19.428000000000004,281.6794,5.7,210.0,164.0,6100.0,406.641,47.0,,75.0,3800.0,380.0,3.1,70.936,-0.7,Michigan,10.433642245943833
3601,Sedimentary,Conventional Hydrocarbon,Hamilton,12212.0,42.8,-82.3,Ontario,,Eastern-Canada,Eastern-Canada,,,430.0,,Devonian,,,4.521,44.208,0.1,720.0,200.0,7300.0,242.957,41.0,,137.0,4200.0,320.0,13.8,74.1500000191,-4.4,Michigan,10.972585248079502
3603,Sedimentary,Conventional Hydrocarbon,Hamilton,10177.0,42.8,-82.3,Ontario,,Eastern-Canada,Eastern-Canada,,,223.0,,Devonian,,,19.428000000000004,289.7314,4.7,200.0,122.0,5800.0,406.641,29.0,,68.0,3800.0,350.0,3.1,70.936,1.0,Michigan,10.433642245943833
3608,Sedimentary,Conventional Hydrocarbon,Dundee,291500.0,43.6,-84.9,Michigan,Isabella,Michigan Basin,Eastern,,,3711.0,,Devonian,,,54.1972,11.818,1050.0,207.416,32000.0,179000.0,93.151,3000.0,,5400.0,71000.0,166.0,750.0,2.06071376,1.5,Michigan,39.14219510350003
3609,Sedimentary,Conventional Hydrocarbon,Dundee,292000.0,43.5,-84.9,Michigan,Isabella,Michigan Basin,Eastern,,,3701.0,,Devonian,,,93.884,6.866999999999999,1310.0,90.0,40000.0,182000.0,44.67300000000001,3400.0,,7000.0,57000.0,150.0,1120.0,0.6113754,0.1,Michigan,36.50501590907089
3610,Sedimentary,Conventional Hydrocarbon,Dundee,17828.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,2219.1,,Devonian,,6.35,10.155,8.030479999999999,59.0,590.0,1270.0,9500.0,10.88,103.0,,820.0,3700.0,1790.0,25.0,2.07371,-3.4,Michigan,5.702315777684883
3611,Sedimentary,Conventional Hydrocarbon,Dundee,17346.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,8259.2,,Devonian,,6.4,28.173,0.199679,54.0,550.0,1300.0,9000.0,8.922999999999998,102.0,,800.0,3500.0,2000.0,26.0,0.2660099999999999,-3.2,Michigan,5.712760081927951
3612,Sedimentary,Conventional Hydrocarbon,Dundee,16512.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,6301.1,,Devonian,,6.35,11.1814,0.224148,44.0,560.0,1220.0,8200.0,10.079,107.0,,770.0,3400.0,2100.0,23.0,0.58274,-1.7,Michigan,6.304501482174856
3617,Sedimentary,Conventional Hydrocarbon,Dundee,16155.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,3900.9,,Devonian,,6.5,11.201,18.34016,58.0,260.0,1180.0,8700.0,7.94,91.0,,720.0,3500.0,1700.0,23.0,3.1700100000000004,-2.2,Michigan,5.75338841025868
3618,Sedimentary,Conventional Hydrocarbon,Dundee,22073.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,2421.4,,Devonian,,6.4,7.790499999999999,17.0413,91.0,330.0,1580.0,12000.0,41.517,115.0,,900.0,4800.0,2200.0,29.0,2.6129,-3.4,Michigan,6.511738916572555
3619,Sedimentary,Conventional Hydrocarbon,Dundee,20166.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,5223.6,,Devonian,,6.5,16.838,11.318210000000002,78.0,158.0,1580.0,10900.0,16.322000000000003,117.0,,910.0,4400.0,2000.0,30.0,3.1514999999999995,-0.6,Michigan,6.536030488980718
3620,Sedimentary,Conventional Hydrocarbon,Dundee,18399.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,3658.2,,Devonian,,6.5,13.001,13.45736,82.0,260.0,1400.0,9900.0,14.983,105.0,,790.0,3900.0,1940.0,26.0,4.154999999999999,-2.7,Michigan,5.75338841025868
3621,Sedimentary,Conventional Hydrocarbon,Dundee,16008.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,3489.6,,Devonian,,6.5,10.731,12.4484,62.0,250.0,1140.0,8900.0,12.713,85.0,,680.0,3400.0,1380.0,24.0,5.0498,-3.9,Michigan,5.5165675064869
3622,Sedimentary,Conventional Hydrocarbon,Dundee,20145.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,4902.4,,Devonian,,6.45,13.4155,3.7572799999999993,74.0,500.0,1410.0,11300.0,6.276,105.0,,810.0,4400.0,1810.0,28.0,0.6438400000000001,-4.8,Michigan,6.304501482174856
3623,Sedimentary,Conventional Hydrocarbon,Dundee,20840.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,3338.9,,Devonian,,6.35,10.5075,7.44952,79.0,320.0,1490.0,11500.0,25.087,111.0,,860.0,4500.0,1920.0,28.0,2.1229,-3.7,Michigan,5.750908932759027
3624,Sedimentary,Conventional Hydrocarbon,Dundee,18342.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,2863.2,,Devonian,,6.5,12.492,11.53652,67.0,310.0,1320.0,10100.0,6.453999999999999,100.0,,760.0,4000.0,1690.0,25.0,2.4808100000000004,-3.2,Michigan,5.444372676249148
3625,Sedimentary,Conventional Hydrocarbon,Dundee,10470.0,42.8,-82.2,Ontario,,Eastern-Canada,Eastern-Canada,,,4766.6,,Devonian,,6.73,13.797,6.537100000000001,43.0,570.0,740.0,5700.0,8.294,62.0,,450.0,2100.0,750.0,51.0,0.2287099999999999,-5.1,Michigan,4.337511769555097
