IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
45919,Sedimentary,Conventional Hydrocarbon,Atoka,66855.0,35.438,-93.453,Arkansas,Logan,Arkoma Basin,Midcontinent,A.r.e.c.i. #1,,3491.0,3530.0,Pennsylvanian,,,14.232,18.4314,193.41,239.0,5610.0,41200.0,140.206,0.0,,839.0,18839.0,128.0,158.55800000000002,17.228400038,0.0,Oklahoma Platform,5.370662434167977
45920,Sedimentary,Conventional Hydrocarbon,Barton,117673.0,35.438,-93.453,Arkansas,Logan,Arkoma Basin,Midcontinent,Gulf #c-1 Areci,,6582.5,,,,,25.0762,148.92059999999998,148.476,860.0,7240.0,71010.0,6.247,0.0,,1067.0,36521.0,975.0,184.006,0.35456,0.0,Oklahoma Platform,15.713448310461846
45921,Sedimentary,Conventional Hydrocarbon,Atoka,63034.0,35.5700748391,-93.4598819976,Arkansas,Johnson,Arkoma Basin,Midcontinent,Gulf No. 1 Tackett,,6821.0,6902.0,Pennsylvanian,,,12.981,312.485,248.74,562.0,945.0,35280.0,14.135000000000002,0.0,,127.0,23170.0,2950.0,279.112,0.2103,0.0,Oklahoma Platform,13.807216040597472
46277,Sedimentary,Conventional Hydrocarbon,Cecil - Spiro,91459.0,35.43827,-93.48176,Arkansas,Johnson,Arkoma Basin,Midcontinent,Kettle-hut Shain 1,3071300290000.0,5375.0,,,1979-07-23,7.2,23.449000000000005,345.48,174.079,155.76,4651.0,53933.64,19.07,0.0,,826.49,29350.92,2521.85,213.55,2.27455144,0.0,Oklahoma Platform,13.671186841003614
46278,Sedimentary,Conventional Hydrocarbon,Cecil - Spiro,83228.0,35.43827,-93.48176,Arkansas,Johnson,Arkoma Basin,Midcontinent,Kettle-hut Shain,3071300290000.0,4087.6,,,1979-07-23,6.7,23.0306,84.80195,120.406,100.33,1000.0,44250.59,17.95,0.0,,304.16,30415.68,7139.24,73.1548,2.3594,0.0,Oklahoma Platform,3.741770292343374
50808,Sedimentary,Conventional Hydrocarbon,Mississippian,89545.0,37.86575,-97.27102,Kansas,Sedgwick,Sedgwick Basin,Midcontinent,Kriske #1,15173001280000.0,6032.8,,Mississippian,1949-09-29,,22.319,764.076,113.0,590.467,5156.0,54040.0,48.565,0.0,,1030.0,27813.3,1336.0,291.199,0.34803,-0.1,Oklahoma Platform,14.783489311094103
50809,Sedimentary,Conventional Hydrocarbon,Mississippian,81360.0,38.2852,-97.45289,Kansas,McPherson,Sedgwick Basin,Midcontinent,John #1,15113004790000.0,1333.1,,Mississippian,1951-05-10,7.2,4.547,67.361,189.0,127.0,2649.0,49659.0,8.55,0.0,,900.0,27651.0,185.0,275.87600000000003,3.856699999999999,0.0,Oklahoma Platform,5.364678002191217
50810,Sedimentary,Conventional Hydrocarbon,Arbuckle,27337.0,38.48033,-98.51953,Kansas,Barton,Cambridge Arch - Central Kansas Uplift,Midcontinent,Robb #1,15009004540000.0,3335.0,3339.0,Ordovician,1948-07-01,,10.1993,287.4701,203.871,293.0,1181.0,11347.0,45.49499999999999,0.0,,311.0,8331.73,5873.0,206.463,4.538900000000001,0.0,Oklahoma Platform,14.282397576636876
50814,Sedimentary,Conventional Hydrocarbon,Viola,187287.0,37.40091,-98.74814,Kansas,Barber,Sedgwick Basin,Midcontinent,Clay A #1,15007002900000.0,3364.6,,Ordovician,1948-09-03,,16.591,133.60113,347.0,78.48140000000001,11141.0,114890.0,135.425,0.0,,4194.0,57576.0,518.0,670.7270000000001,13.50817768,2.2,Oklahoma Platform,21.429003162893032
50816,Sedimentary,Conventional Hydrocarbon,Simpson,23449.0,37.65109,-97.12009,Kansas,Butler,Nemaha Uplift,Midcontinent,Cox B #1,15015006820000.0,3038.0,3042.0,Ordovician,1952-12-08,7.3,13.220999999999998,8.936910000000001,59.0,78.0,1560.0,13788.0,23.384,0.0,,373.0,6810.0,706.0,37.6151,2.356,-0.1,Oklahoma Platform,4.108369209596288
