IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
3796,Shale,Conventional Hydrocarbon,Temblor,16239.0,36.22826,-120.31886,California,Fresno,San Joaquin Basin,Pacific Coast,8-35A,4019024710000.0,2409.0,2779.0,Neogene,1974-01-01,7.5,43.0,5.2,15.98,7521.0,26.0,3022.0,0.17,53.0,0.7,320.0,4800.0,8.0,5.5,3.84633,6.5,Pacific,0.7
3799,Shale,Conventional Hydrocarbon,Temblor,18914.0,36.25134,-120.34086,California,Fresno,San Joaquin Basin,Pacific Coast,96-28A,4019022600000.0,1490.0,2680.0,Neogene,1974-01-01,7.9,24.0,33.0,69.3,915.0,60.0,10800.0,0.13,59.5,3.0,106.0,6500.0,4.0,10.0,0.1561199999999999,-3.9,Pacific,3.0
3803,Sedimentary,Conventional Hydrocarbon,Reef Ridge,13863.0,35.05083,-119.1325,California,Kern,San Joaquin Basin,Pacific Coast,27-09,4029158020000.0,11503.0,11588.0,,1974-08-24,7.53,96.0,2.3,63.92,195.0,275.0,7194.0,0.06,78.0,1.9,12.0,4900.0,48.0,12.5,0.95215,5.1,Pacific,1.9
3804,Sedimentary,Conventional Hydrocarbon,Reef Ridge,10900.0,35.04733,-119.1147,California,Kern,San Joaquin Basin,Pacific Coast,21-15,4029158190000.0,13178.0,13245.0,,1974-08-21,7.7,92.0,4.2,57.0,2870.0,67.0,3460.0,0.36,620.0,1.95,7.0,4000.0,38.0,8.0,2.3781600000000003,14.1,Pacific,1.95
3806,Sedimentary,Conventional Hydrocarbon,Valv,12305.0,35.01451,-119.02831,California,Kern,San Joaquin Basin,Pacific Coast,413-28,4029207550000.0,2989.0,3036.0,,1974-08-19,7.89,11.0,10.0,42.86,2330.0,220.0,5850.0,1.3,52.0,1.3,68.0,3750.0,2.0,14.0,1.0093299999999998,-5.8,Pacific,1.3
3807,Sedimentary,Conventional Hydrocarbon,Valv,25152.0,35.01501,-119.02387,California,Kern,San Joaquin Basin,Pacific Coast,133-28,4029041200000.0,3440.0,3490.0,,1974-08-19,7.53,42.0,65.0,65.52,2318.0,375.0,13366.0,1.9,160.0,1.0,158.0,8550.0,1.0,73.0,3.73704,-0.7,Pacific,1.0
3808,Sedimentary,Conventional Hydrocarbon,Olcese,25592.0,35.01536,-119.02865,California,Kern,San Joaquin Basin,Pacific Coast,113-28,4029109600000.0,3666.0,3575.0,,1974-08-19,7.64,25.0,58.0,55.14,4215.0,104.0,11600.0,0.6,130.0,0.9,88.0,8550.0,2.0,58.0,0.10711,-0.9,Pacific,0.9
3809,Sedimentary,Conventional Hydrocarbon,Olcese,23492.0,35.01324,-119.0261,California,Kern,San Joaquin Basin,Pacific Coast,124-28,4029207500000.0,3740.0,3890.0,,1974-08-19,7.43,33.0,48.0,56.46,2007.0,250.0,12000.0,3.0,118.0,1.0,122.0,7300.0,2.0,52.0,0.11123,-3.8,Pacific,1.0
3810,Sedimentary,Conventional Hydrocarbon,Tejon,44291.0,35.01855,-119.02608,California,Kern,San Joaquin Basin,Pacific Coast,21-28,4029207630000.0,10130.0,10578.0,,1974-08-19,6.88,60.0,12.0,8040.0,5.0,5550.0,21450.0,2.8,135.0,1.95,27.0,7450.0,50.0,187.0,15.083000000000002,-7.3,Pacific,1.95
3811,Sedimentary,Conventional Hydrocarbon,Valv,14928.0,35.01281,-119.02378,California,Kern,San Joaquin Basin,Pacific Coast,434-28,4029207580000.0,3337.0,3485.0,,1974-08-19,7.35,11.0,12.0,49.78,2000.0,370.0,5982.0,0.4,81.0,1.6,106.0,4200.0,2.0,45.0,4.1012200000000005,2.6,Pacific,1.6
