IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
46391,Sedimentary,Conventional Hydrocarbon,Unknown,19003.0,34.81361,-120.41266,California,Santa Barbara,Santa Maria Basin,Pacific Coast,34x Harris Ranch - Pyramid-harris,4083205950000.0,3670.0,3837.0,,,7.8,14.3811,20.4892,33.370999999999995,547.7,284.0,11438.7,61.015,0.0,,594.0,6255.1,158.0,15.436000000000002,2.5554999999999994,0.0,Pacific,2.7275048391708463
46392,Sedimentary,Conventional Hydrocarbon,Unknown,84891.0,34.94282,-120.55108,California,Santa Barbara,Santa Maria Basin,Pacific Coast,A. Tognazzini #4,4083205440000.0,5210.0,5287.0,,,7.4,35.5377,56.713,158.341,1955.0,87.0,49546.0,14.709000000000003,33.0,,120.5,32000.0,91.0,170.084,0.4472799999999999,-0.9,Pacific,1.3778036373534595
46393,Sedimentary,Conventional Hydrocarbon,Unknown,24916.0,34.94193,-120.55928,California,Santa Barbara,Santa Maria Basin,Pacific Coast,F. Tognazzini #1,4083204850000.0,5494.0,5505.0,,,8.0,65.25800000000001,18.228,70.37,2862.0,53.0,11595.0,6.318,22.5,,70.4,8740.0,37.0,22.45,0.1702499999999999,1.9,Pacific,1.0101275708925734
46394,Sedimentary,Conventional Hydrocarbon,Ranger,33386.0,33.77636,-118.22282,California,Los Angeles,Los Angeles Basin,Pacific Coast,Pacific Dock No. 14; M614d,4037035800000.0,3601.8,,Ordovician,,,11.864,76.0,56.557,543.0,784.0,19986.0,12.432,0.0,,553.0,11234.0,1713.8650000000002,52.981,3.0289,0.2,Pacific,3.3652481445523654
46395,Sedimentary,Conventional Hydrocarbon,Nordstron,13059.0,33.94273,-118.06579,California,Los Angeles,Los Angeles Basin,Pacific Coast,Bell No. 22,4037005800000.0,6789.6,,,1956-06-08,8.1,11.829,2.7,50.93,491.1,92.5,7446.0,0.6,0.0,,66.6,4792.94,26.0,5.814100000000001,0.04888,0.0,Pacific,1.2512507058621973
46396,Sedimentary,Conventional Hydrocarbon,Ranger,25687.0,33.764,-118.212,California,Los Angeles,Los Angeles Basin,Pacific Coast,Y - 4,4237029030000.0,3663.2,,Ordovician,1952-05-17,7.0,12.8762,55.4,20.116,1068.9,331.03,18133.0,79.048,0.0,,170.56,11444.8,1406.56,47.989,4.05571,0.0,Pacific,2.5049502044343455
46397,Sedimentary,Conventional Hydrocarbon,Terminal,30457.0,33.77126,-118.22497,California,Los Angeles,Los Angeles Basin,Pacific Coast,Union Pacific Railroad Co. No. 85,4037048750000.0,2942.0,4006.0,,,7.6,13.018,53.9,35.881,414.8,527.0,18083.0,19.2,0.0,,308.0,10677.14,2133.644,46.905,0.8348999999999999,0.0,Pacific,3.298681336460939
46398,Sedimentary,Conventional Hydrocarbon,Tar Springs,35411.0,33.76342,-118.22421,California,Los Angeles,Los Angeles Basin,Pacific Coast,Union Pacific No. 127,4037047790000.0,2851.0,3915.0,,1954-09-07,7.2,90.27,86.0,90.905,2775.5,411.0,19324.0,1.0,0.0,,565.8,12025.49,379.794,50.5348,0.95861,0.1,Pacific,3.809854342169834
46399,Sedimentary,Conventional Hydrocarbon,Ranger,33383.0,33.76352,-118.21116,California,Los Angeles,Los Angeles Basin,Pacific Coast,Y - 9,4237029060000.0,3204.1,,Ordovician,1939-08-07,7.2,12.8535,32.602999999999994,43.028,1223.9,640.67,19449.0,81.164,0.0,,437.8,11513.4,802.7529999999999,26.573200000000003,1.5081099999999998,0.0,Pacific,3.2539116504684644
46400,Sedimentary,Conventional Hydrocarbon,Terminal,21500.0,33.774,-118.213,California,Los Angeles,Los Angeles Basin,Pacific Coast,P & G No. 3,,5356.3,,,,,25.251000000000005,21.665,35.314,421.3,384.4,12700.0,11.692,0.0,,200.1,7464.0,1.5,25.940999999999995,0.05845,-0.7,Pacific,2.318993766626973
46401,Sedimentary,Conventional Hydrocarbon,Terminal,31229.0,33.773,-118.213,California,Los Angeles,Los Angeles Basin,Pacific Coast,P & G No. 2,,5007.1,,,,,40.493,25.01,52.025,903.9,492.1,18196.0,19.331,0.0,,307.0,10861.0,7.4,36.724,0.1382399999999999,-0.6,Pacific,3.3123726202408883
46402,Sedimentary,Conventional Hydrocarbon,Unknown,28800.0,34.32972,-119.3484,California,Ventura,Ventura Basin,Pacific Coast,Grubb No. A - 15,4111018740000.0,7615.0,8420.0,,,7.5,82.82399999999998,10.0,165.5,2030.0,515.0,15700.0,0.6,0.0,,175.0,10021.69,357.249,178.67630000000003,0.11061,0.0,Pacific,3.4970178706403803
46403,Sedimentary,Conventional Hydrocarbon,Unknown,32045.0,34.33024,-119.35371,California,Ventura,Ventura Basin,Pacific Coast,Grubb A - 12,4111018710000.0,6840.0,7653.0,,,7.14,13.222,4.0,118.967,795.0,765.0,17975.0,10.0,0.0,,355.0,11001.38,1250.0,42.775,0.26159,0.0,Pacific,4.426158737999172
46405,Sedimentary,Conventional Hydrocarbon,Unknown,15270.0,33.90019,-117.97629,California,Orange,Los Angeles Basin,Pacific Coast,Murphy - Coyote No. 107,4059046080000.0,3883.0,4269.0,,,7.6,18.785,11.892,42.096,1160.0,103.0,8230.0,0.94,0.0,,117.0,5439.29,12.0,19.0,0.8343999999999999,0.1,Pacific,1.9821030729355908
46406,Sedimentary,Conventional Hydrocarbon,Unknown,12435.0,33.90797,-117.97029,California,Orange,Los Angeles Basin,Pacific Coast,Murphy - Coyote No. 116,4059046170000.0,5448.0,6237.0,,,7.5,22.355,3.0,24.802,1080.0,105.0,6505.0,3.0,36.0,,65.0,4358.96,757.4359999999999,6.905999999999999,0.4447899999999999,0.0,Pacific,0.8222839232262795
46408,Sedimentary,Conventional Hydrocarbon,Santa Margarita,14176.0,35.01097,-119.82652,California,San Luis Obispo,Central Coastal,Pacific Coast,Norris Cuyama No. 3 - 25,4079009950000.0,5885.2,,,,7.7,15.173000000000002,6.012,47.018,432.0,142.0,7351.0,81.71000000000001,0.0,,56.0,4691.0,64.0,5.617999999999999,0.45869,0.0,Pacific,0.9169844287890325
