IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
177,Sedimentary,Conventional Hydrocarbon,Fusselman,69000.0,31.9,-101.44,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10013.0,,Silurian,2014-01-23,7.63,19.0,2.207038,38.8,459.301,2190.0,39800.0,107.0,618.0,,403.0,22200.0,1580.0,59.3,1.8299,-1.7,Permian,5.616359938437843
178,Shale,Tight Oil,Cline,79900.0,31.91,-101.44,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9547.0,,Permian,2014-01-23,7.54,33.2,866.9943,928.0,502.227,2450.0,46300.0,68.3,219.0,,329.0,25200.0,351.0,931.0,0.4904,-2.3,Permian,41.573612268537296
179,Sedimentary,Conventional Hydrocarbon,Wolfwood,127000.0,31.86,-101.47,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,8789.0,,Devonian - Pennsylvanian,2014-01-23,7.76,39.3,1275.433,1050.0,362.054,8010.0,75100.0,97.9,276.0,,1130.0,36800.0,304.0,1850.0,0.9146,0.0,Permian,34.59824182393314
181,Sedimentary,Conventional Hydrocarbon,Fusselman,72400.0,31.98,-101.49,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10151.0,,Silurian,2014-01-23,7.4,15.9,1.636268,36.4,397.071,2470.0,40900.0,48.3,613.0,,474.0,22700.0,1530.0,66.1,1.2039000000000002,-1.1,Permian,6.209112546919478
182,Shale,Tight Oil,Cline,36800.0,31.97,-101.48,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10151.0,,Permian,2014-01-23,7.79,38.0,93.892,861.0,996.27,569.0,21000.0,139.0,122.0,,79.3,13000.0,3829.871,262.0,25.6492,-0.8,Permian,12.628420409056544
183,Shale,Conventional Hydrocarbon,Spraberry,138000.0,31.49,-101.64,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,9249.0,,Permian,2014-01-24,7.56,39.6,411.0,755.0,154.995,1440.0,82400.0,6.7,400.0,,370.0,47400.0,4009.057,830.0,1.736,-3.0,Permian,71.47226622991802
184,Shale,Conventional Hydrocarbon,Spraberry,139000.0,31.48,-101.65,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,6831.0,,Permian,2014-01-24,7.12,31.0,376.0,758.0,382.169,1470.0,83300.0,11.2,360.0,,345.0,48100.0,3752.314,859.0,0.6091,-3.0,Permian,68.84317033731509
185,Sedimentary,Conventional Hydrocarbon,Dean,118000.0,31.51,-101.66,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,7329.0,,Permian,2014-01-24,7.58,40.9,867.658,691.0,568.897,1650.0,71200.0,65.2,520.0,,317.0,39600.0,4126.058,1100.0,0.9045000003,-4.0,Permian,37.615817801935066
186,Shale,Tight Oil,Wolfcamp,149000.0,31.57,-101.92,Texas,Upton,Permian Basin,West Texas and Eastern New Mexico,,,8225.0,,Permian,2014-01-24,7.35,27.4,122.054,816.0,451.064,3150.0,90400.0,18.2,769.0,,445.0,50000.0,368.0,787.0,5.1877,-3.4,Permian,67.95300064324485
187,Shale,Tight Oil,Wolfcamp,124000.0,31.57,-101.92,Texas,Upton,Permian Basin,West Texas and Eastern New Mexico,,,9639.0,,Permian,2014-01-24,7.51,30.6,302.677,630.0,1352.871,756.0,76400.0,13.0,819.0,,101.0,44400.0,547.0,341.0,0.759,-4.5,Permian,27.764386360145068
