IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
20978,Sedimentary,Conventional Hydrocarbon,Madison,23568.0,39.49128,-110.76835,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,,,10058.0,10165.0,Mississippian,1958-05-01,7.1,33.848,95.1137,76.08,634.0,1530.0,11600.0,2.47,0.0,,396.0,6583.0,2825.0,34.7118,0.2734,-0.1,Rocky Mountain,5.267877478287264
20979,Sedimentary,Conventional Hydrocarbon,Madison,35778.0,39.53511,-110.61743,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,,,7433.0,7986.0,Mississippian,1963-04-01,7.3,77.209,564.411,705.5,2269.0,1144.0,13100.0,8.153,0.0,,311.0,10956.0,8400.0,432.206,0.09711,-2.0,Rocky Mountain,41.26480479480036
20980,Sedimentary,Conventional Hydrocarbon,Madison,54624.0,39.4045,-110.55795,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6998.0,7133.0,Mississippian,1957-02-01,6.8,66.6794,81.35199999999999,148.43,4030.0,1936.0,29000.0,46.108,0.0,,454.0,18537.0,2712.0,104.2432,0.5554999999999998,0.0,Rocky Mountain,6.26205367749515
20981,Sedimentary,Conventional Hydrocarbon,Madison,51888.0,39.22628,-110.38982,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6963.0,7083.0,Mississippian,1962-12-01,6.0,34.70399999999999,22.101,187.6,3270.0,2400.0,29110.0,67.34734999999999,0.0,,486.0,16174.0,80.0,117.734,0.21438,-0.8,Rocky Mountain,7.1047367374839245
20982,Sedimentary,Conventional Hydrocarbon,Madison,50845.0,39.18463,-110.41038,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6736.0,6915.0,Mississippian,1962-08-01,7.0,26.093999999999998,53.806,103.698,1903.0,2640.0,28968.0,161.998,0.0,,365.0,16169.0,800.0,111.259,15.9385,0.0,Rocky Mountain,4.962918273986094
20983,Sedimentary,Conventional Hydrocarbon,Madison,327283.0,38.97204,-110.21853,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,9555.0,9652.0,Mississippian,1961-04-01,5.5,33.342,41.37735,345.32800000000003,1452.0,4370.0,196400.0,698.5229999999999,0.0,,1604.0,120957.0,2400.0,144.6807,203.6,0.0,Rocky Mountain,6.556008058338711
20984,Sedimentary,Conventional Hydrocarbon,Madison,202907.0,38.85457,-110.03174,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,10053.0,10173.0,Mississippian,1958-08-01,6.5,48.48100000000001,31.879,375.32700000000006,257.0,9757.0,123703.0,467.74300000000005,0.0,,1441.0,66729.0,670.0,191.73200000000003,172.70999999999998,0.0,Rocky Mountain,6.5647793726119446
20985,Sedimentary,Conventional Hydrocarbon,Madison,24074.0,38.79612,-110.27479,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,7500.0,7702.0,Mississippian,1959-08-01,6.9,24.654999999999998,74.74300000000001,146.44099999999997,769.0,1444.0,11670.0,3.0370000000000004,0.0,,208.0,7283.0,3090.0,29.062400000000004,0.1797,0.0,Rocky Mountain,6.945443170384548
20986,Sedimentary,Conventional Hydrocarbon,Madison,191344.0,38.81074,-110.14336,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,8210.0,8440.0,Mississippian,1961-10-01,6.9,28.124,34.556999999999995,213.07,465.0,5092.0,116000.0,504.155,0.0,,2916.0,65021.0,2086.0,134.51000000000005,92.49,0.0,Rocky Mountain,5.123879801146284
20987,Sedimentary,Conventional Hydrocarbon,Madison,166549.0,38.81052,-110.06935,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,8709.0,8716.0,Mississippian,1962-12-01,6.5,35.717,28.77046,212.05273000000005,378.0,5781.0,101000.0,66.58500000000001,0.0,,1453.0,56854.0,1275.0,140.787,4.559000000000001,0.0,Rocky Mountain,6.574674410967804
