IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
4989,Sedimentary,Conventional Hydrocarbon,Mission Canyon,301013.0,46.09486,-102.11551,North Dakota,Adams,Williston Basin,Rocky Mountains and Northern Great Plains,Soelberg     23-7,33001000060000.0,6220.0,6310.0,Mississippian,1978-01-02,5.59,44.111,21.984,967.325,116.0,20942.0,188000.0,24.0,0.0,,3586.0,88000.0,345.0,596.9239999999999,1.9577,-1.4,Williston,35.91492225946076
4990,Sedimentary,Conventional Hydrocarbon,Red River,304460.0,46.09486,-102.11551,North Dakota,Adams,Williston Basin,Rocky Mountains and Northern Great Plains,Soelberg     23-7,33001000060000.0,8355.0,8414.0,Ordovician,1978-01-02,5.43,29.204,26.469000000000005,971.397,43.0,21844.0,190000.0,107.0,0.0,,2796.0,89500.0,170.0,622.098,37.0,-1.4,Williston,23.704836937663874
4991,Sedimentary,Conventional Hydrocarbon,Tyler,292586.0,46.87682,-103.50688,North Dakota,Billings,Williston Basin,Rocky Mountains and Northern Great Plains,Medora Heath-madison Unit     01,33007000730000.0,7768.0,7710.0,Pennsylvanian,1965-03-05,6.4,35.302309999847,199.964,204.69,85.0,15240.0,178800.0,658.3620000000001,0.0,,1280.0,96415.0,766.0,942.684,158.650000076,0.0,Williston,28.815438758656455
4992,Sedimentary,Conventional Hydrocarbon,Madison,100135.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.1,31.771,184.0975,243.3,305.0,4450.0,58000.0,60.0,413.0,,595.0,34000.0,2300.0,214.29460000000003,1.01965672,2.1,Williston,11.878952326892968
4993,Sedimentary,Conventional Hydrocarbon,Madison,110199.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.12,22.903,0.58757,182.584,268.0,3870.0,66100.0,62.0,347.0,,952.0,36400.0,2200.0,64.50890000000001,2.47395672,-1.3,Williston,6.308270495332848
4994,Sedimentary,Conventional Hydrocarbon,Madison,123248.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.19,11.777,170.31455,134.8793,146.0,4840.0,71800.0,35.0,360.0,,952.0,42800.0,2300.0,164.523,3.45,2.7,Williston,17.480435081464194
4995,Sedimentary,Conventional Hydrocarbon,Madison,159981.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.03,33.055,7.65781,254.147,61.0,7360.0,97000.0,7.0,1700.0,,1547.0,50800.0,1500.0,163.1537,5.94508,-0.4,Williston,8.968026841463624
4996,Sedimentary,Conventional Hydrocarbon,Madison,191282.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.52,218.052,338.848,826.4,165.0,5620.0,113500.0,3.0,9600.0,,1190.0,59700.0,1500.0,969.007,4.744999999999999,-0.2,Williston,96.5101571783192
4997,Sedimentary,Conventional Hydrocarbon,Madison,180821.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.58,249.046,327.067,490.16,201.0,5620.0,108700.0,3.0,8000.0,,1190.0,55400.0,1700.0,824.659,4.415,-1.8,Williston,58.87159723924214
4998,Sedimentary,Conventional Hydrocarbon,Madison,191777.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.58,226.552,282.678,572.222,207.0,5230.0,113500.0,3.0,11100.0,,1428.0,58800.0,1500.0,832.4069999999999,3.915000000000001,-0.2,Williston,79.90113574921664
4999,Sedimentary,Conventional Hydrocarbon,Madison,177289.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.63,246.896,482.2,437.86,232.0,5620.0,105800.0,9.0,6000.0,,1428.0,56400.0,1800.0,712.981,4.615,-0.3,Williston,85.29962261904937
