IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
63,Shale,Shale Gas,Marcellus,54800.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,9778.0,,Devonian,,,119.32626,19.0,359.0,491.282,3140.0,31300.0,27.4,0.0,21.5,295.0,12000.0,105.0,736.5,0.0839,-10.5,Appalachian,21.5
64,Shale,Shale Gas,Marcellus,26100.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,10658.2,,Devonian,,,71.42918,9.43,210.0,836.801,1790.0,15300.0,6.47,0.0,12.5,188.0,6920.0,116.0,215.0,0.0321,-3.0,Appalachian,12.5
65,Shale,Shale Gas,Marcellus,41700.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,5030.3,,Devonian,,,17.4601,107.0,261.0,456.617,2730.0,27700.0,43.5,0.0,19.8,278.0,12700.0,69.3,67.0,0.0657,-4.8,Appalachian,19.8
67,Shale,Shale Gas,Marcellus,38200.0,41.270892,-76.659691,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201090000.0,8130.5,,Devonian,,,25.824400000000004,428.0,225.760224,558.6809999999999,1530.0,21500.0,15.7,53.4,,164.0,11100.0,1563.775,417.0,0.057,-1.4,Appalachian,-27.902990341186523
68,Shale,Shale Gas,Marcellus,82600.0,41.270892,-76.659691,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201090000.0,8064.5,,Devonian,,,98.269,1290.0,299.0,1976.073,4020.0,51900.0,35.2,59.6,,367.0,19800.0,1801.14,1.0,0.01,-13.8,Appalachian,30.0471134185791
69,Shale,Shale Gas,Marcellus,169000.0,41.270804,-76.659747,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201190000.0,4993.281892,,Devonian,,,12.657999999999998,5150.0,697.0,6860.789,13100.0,102000.0,39.2,312.0,201.0,781.0,40300.0,49.4,3650.0,0.0522,-4.5,Appalachian,201.0
70,Shale,Shale Gas,Marcellus,333000.0,41.736671,-76.603662,Pennsylvania,Bradford,Appalachian Basin,Eastern,,37015201160000.0,6577.0,,Devonian,,,46.423,5030.0,921.0,1295.9,21300.0,192000.0,74.2,0.0,202.0,1760.0,78400.0,128.239,5050.0,2.0756,-6.1,Appalachian,202.0
71,Shale,Shale Gas,Marcellus,61800.0,41.281214,-76.631075,Pennsylvania,Lycoming,Appalachian Basin,Eastern,,37081201490000.0,12555.3,,Devonian,,,138.244,817.0,248.0,1823.256,3270.0,36700.0,30.3,0.0,91.0,254.0,16600.0,2645.169,735.0,0.007,-5.2,Appalachian,91.0
72,Shale,Shale Gas,Marcellus,87800.0,41.763414,-76.534019,Pennsylvania,Bradford,Appalachian Basin,Eastern,,37015202940000.0,6384.8,,Devonian,,,38.7314,4040.0,480.0,5807.169,7610.0,69200.0,31.5,0.0,103.0,603.0,21100.0,1373.118,2040.0,1.06513,-14.8,Appalachian,103.0
73,Shale,Shale Gas,Marcellus,57500.0,40.947772,-78.464817,Pennsylvania,Clearfield,Appalachian Basin,Eastern,,37033268740000.0,8751.8,,Devonian,,,106.728,1340.0,226.0,2416.7459000000003,4470.0,32500.0,90.4,0.0,34.1,507.0,18400.0,1.0,1.0,0.1,8.2,Appalachian,34.1
74,Shale,Shale Gas,Marcellus,14500.0,41.707603,-75.929072,Pennsylvania,Susquehanna,Appalachian Basin,Eastern,,37115203310000.0,10848.1,,Devonian,,,51.8,367.0,77.52,1493.506,580.0,11100.0,31.1,0.0,42.5,67.5,5550.0,2296.5260000000003,112.0,0.1150099999999999,-4.9,Appalachian,42.5
75,Shale,Shale Gas,Marcellus,104000.0,41.658389,-76.808778,Pennsylvania,Bradford,Appalachian Basin,Eastern,,37015206680000.0,11595.1,,Devonian,,,249.01,4250.0,400.0,9607.0,8040.0,64000.0,59.9,0.0,87.5,644.0,25200.0,2546.7950000000005,1890.0,1.1662,-4.5,Appalachian,87.5
76,Shale,Shale Gas,Marcellus,16200.0,41.19501,-77.687692,Pennsylvania,Clinton,Appalachian Basin,Eastern,,37035211610000.0,4860.7,,Devonian,,,21.333,50.0,32.967,875.2072000000001,394.0,7690.0,16.9,0.0,1.3,21.9,3610.0,1069.956,57.8,0.068,-9.2,Appalachian,1.3
77,Shale,Shale Gas,Marcellus,56200.0,41.369366,-77.559437,Pennsylvania,Clinton,Appalachian Basin,Eastern,,37035211560000.0,10128.0,,Devonian,,,122.824,1370.0,231.0,2329.241,2670.0,31300.0,34.9,74.1,54.6,219.0,13300.0,1421.843,814.0,0.115,-7.0,Appalachian,54.6
78,Shale,Shale Gas,Marcellus,100000.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,11036.3,,Devonian,,,131.6,1220.0,503.0,1167.304,6870.0,56300.0,189.0,0.0,92.2,613.0,25000.0,1037.483,1500.0,0.432,-2.0,Appalachian,92.2
83,Shale,Shale Gas,Marcellus,40700.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,6138.1,,Devonian,,,21.535000000000004,165.0,242.0,277.256,2260.0,26800.0,140.0,0.0,21.4,291.0,12900.0,25.9,345.0,2.93,-3.5,Appalachian,21.4
86,Shale,Shale Gas,Marcellus,124000.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,5384.3,,Devonian,,,16.544999999999998,1010.0,880.0,148.9441,9600.0,76800.0,74.8,0.0,56.1,1000.0,32600.0,39.8,1370.0,0.5900899999999999,-3.6,Appalachian,56.1
87,Shale,Shale Gas,Marcellus,199000.0,40.441658,-79.986932,Pennsylvania,Allegheny,Appalachian Basin,Eastern,,,5185.4,,Devonian,,,22.630000000000003,2110.0,1430.0,260.1716,19400.0,121000.0,144.0,0.0,112.0,1810.0,47700.0,42.4,2870.0,0.147,-2.1,Appalachian,112.0
