IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
86252,Sedimentary,Conventional Hydrocarbon,McMillan,108107.0,31.9435,-99.7242,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,2,42399001220000.0,2528.0,2536.0,,1966-11-10,7.0,14.44,261.766,285.0,305.0,7165.0,66124.0,16.3,0.0,,818.0,33258.59,1191.678,332.56199999999995,2.0985,-0.1,Fort Worth,107.97572326660156
86253,Sedimentary,Conventional Hydrocarbon,Jenning,127128.0,31.9044,-99.9713,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,1 Spill,42399001850000.0,4086.0,4130.0,,1966-11-08,6.8,23.69,284.04999999999995,223.0,290.0,7625.0,77845.0,18.785,0.0,,915.0,40117.65,1727.879,326.198,0.07758,-0.1,Fort Worth,233.72035217285156
86254,Sedimentary,Conventional Hydrocarbon,Capps,115351.0,31.8878,-100.0274,Texas,Runnels,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,2 Parramore,42399105610000.0,3974.0,4010.0,,1966-11-08,7.2,16.644,43.92400000000001,206.0,476.0,5160.0,70762.0,170.41,0.0,,1636.0,37068.67,1129.265,139.872,22.1072,0.0,Fort Worth,354.9019775390625
86805,Sedimentary,Conventional Hydrocarbon,Bend,207082.0,33.65228,-97.80667,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,#2,42337006240000.0,5374.1,,Pennsylvanian,1961-12-04,5.6,33.340999999999994,105.364,1122.3,59.0,17800.0,127300.0,86.8,0.0,,2660.0,54260.0,21.0,1106.94,0.3277,-1.8,Fort Worth,-391.5989990234375
86806,Sedimentary,Conventional Hydrocarbon,Bend,216035.0,33.65188,-97.80068,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,No. 1,42337006230000.0,5786.4,,Pennsylvanian,1961-12-04,5.7,36.81400000000001,2.0,778.9780000000001,78.0,17760.0,134000.0,82.356,0.0,,7084.0,61400.0,12.0,1463.9,0.65011,4.5,Fort Worth,-287.4290771484375
86807,Sedimentary,Conventional Hydrocarbon,Cisco,156000.0,33.89891,-97.70987,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,,42337005560000.0,5107.7,,Permian,1963-04-08,5.6,31.5,18.881,613.958,20.0,17700.0,97200.0,53.569,0.0,,2290.0,44100.0,465.0009999999999,257.78099999999995,1.2859999999999998,4.3,Fort Worth,-861.6331787109375
86809,Sedimentary,Conventional Hydrocarbon,Fusselman,230000.0,33.68761,-97.84083,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Henry #4,42337006190000.0,4579.9,,Silurian,1963-11-18,4.7,38.35,77.346,1002.365,10.0,20500.0,143000.0,76.658,0.0,,3220.0,63100.0,44.0,893.184,15.542296919999998,0.0,Fort Worth,-606.3245849609375
86811,Sedimentary,Conventional Hydrocarbon,Fusselman,229000.0,33.68868,-97.837,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Harry #3,42337006180000.0,5960.0,,Silurian,1963-11-18,,50.8,360.0,1193.894,24.0,19500.0,142000.0,83.99300000000001,0.0,,3070.0,63700.0,1462.564,1306.674,3.31,0.0,Fort Worth,-374.1097412109375
86812,Sedimentary,Conventional Hydrocarbon,Fusselman,275000.0,33.68868,-97.837,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sl & Wr Harry #3,42337006180000.0,5900.0,,Silurian,1963-12-26,5.4,9.213,440.0,1070.9,59.0,19800.0,140000.0,89.8523,0.0,,3150.0,61100.0,1086.206,858.2779999999999,40.04,-0.5,Fort Worth,853.8424072265625
86813,Sedimentary,Conventional Hydrocarbon,Ellenburger,122000.0,33.81646,-97.50036,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Wsw #30,42337018650000.0,1000.0,2800.0,Ordovician,1964-10-29,5.7,32.438,73.604,706.8252239999999,61.0,12800.0,76200.0,25.0,0.0,,2490.0,30000.0,20.0,294.641,0.5424,-0.1,Fort Worth,-613.0946044921875
86814,Sedimentary,Conventional Hydrocarbon,Unknown,235000.0,33.56563,-97.74545,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,W. A. Rodessa No. 2,42337007310000.0,7200.0,,,,4.9,18.332,130.193,817.162,17.0,22200.0,146000.0,370.116,0.0,,3170.0,63300.0,270.0,1253.6129999999998,229.526,0.0,Fort Worth,-686.9788818359375
86815,Sedimentary,Conventional Hydrocarbon,Fusselman,218000.0,33.59826,-97.70476,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,G R Nored #1,42337007060000.0,6400.0,,Silurian,1963-12-17,5.0,49.46,64.18,1002.8,41.0,18600.0,135000.0,62.217000000000006,0.0,,2240.0,61900.0,34.0,527.516,5.07529692,-0.1,Fort Worth,-501.4281005859375
86816,Sedimentary,Conventional Hydrocarbon,Unknown,200000.0,33.60466,-97.70741,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,,42337006940000.0,3800.0,,,,5.8,19.971,1.0,693.143656,117.0,16900.0,123000.0,446.999,0.0,,2510.0,55700.0,72.0,253.159,184.485,0.0,Fort Worth,-389.6580810546875
86817,Sedimentary,Conventional Hydrocarbon,Caddo,214000.0,33.6032,-97.71159,Texas,Montague,Bend Arch - Fort Worth Basin,West Texas and Eastern New Mexico,Sussette Meyers #4,42337006930000.0,6200.0,,Pennsylvanian,1963-12-12,5.1,63.449,64.622,1056.86,27.0,18900.0,133000.0,52.64142,0.0,,2800.0,59300.0,47.0,872.201,1.09529692,0.0,Fort Worth,-555.0140380859375
