IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
17225,Shale,CBM,Mancos,11400.0,39.52491,-110.84129,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,18-70,43007302480000.0,509.0,,Cretaceous,1996-06-19,7.9,9.0,31.0,12.0,6364.372,74.0,3350.0,73.41499999999999,49.0,0.61,26.0,4660.0,891.7379999999999,12.0,4.499599999999999,2.8,Great Plains,0.61
17226,Shale,CBM,Mancos,11500.0,39.52491,-110.84129,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,18-70,43007302480000.0,509.0,,Cretaceous,1997-08-26,7.8,9.6,33.0,13.0,6547.003,63.0,3510.0,0.43,34.0,0.69,25.0,4530.0,2300.142,12.0,2.8995999999999995,-0.6,Great Plains,0.69
17227,Shale,CBM,Mancos,12700.0,39.52491,-110.84129,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,18-70,43007302480000.0,509.0,,Cretaceous,1999-03-24,7.8,8.1,35.0,10.0,6742.263,58.0,4200.0,0.85,37.0,0.77,27.0,4980.0,2099.716,10.0,1.5666,-1.3,Great Plains,0.77
17231,Shale,CBM,Mancos,12700.0,39.52411,-110.85683,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,13-65,43007302430000.0,587.0,,Cretaceous,1996-06-19,7.7,9.3,22.0,13.0,7369.511,49.0,3530.0,8.4,40.0,0.7,22.0,5380.0,2314.728,11.0,2.8995999999999995,4.2,Great Plains,0.7
17232,Shale,CBM,Mancos,17000.0,39.50326,-110.85974,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,24-86,43007302670000.0,619.0,,Cretaceous,1999-03-24,7.2,6.9,38.0,15.0,6645.263,68.0,7270.0,9.1,39.0,1.4,34.0,6270.0,1421.443,16.0,1.5598,-5.6,Great Plains,1.4
17235,Shale,CBM,Mancos,10200.0,39.62112,-110.91061,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,9-111,43007304280000.0,774.0,,Cretaceous,1999-03-25,8.2,3.9,11.0,7.0,7222.325,24.0,2250.0,8.1,22.0,0.68,16.0,4150.0,1959.911,4.9,2.9059,0.5,Great Plains,0.68
17236,Shale,CBM,Mancos,13000.0,39.22203,-111.1069,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,26-2,43015302440000.0,924.0,,Cretaceous,1996-08-27,7.5,2.5,22.0,20.0,8538.423,19.0,3060.0,1.75,27.0,1.2,7.7,5550.0,1.4,6.8,2.43446,3.7,Great Plains,1.2
17237,Shale,CBM,Mancos,11900.0,39.22203,-111.1069,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,26-2,43015302440000.0,924.0,,Cretaceous,1997-08-28,7.8,2.8,20.0,16.0,8422.204,16.0,2600.0,1.6,20.0,1.3,7.9,4930.0,68.809,7.0,2.4284600000000003,1.2,Great Plains,1.3
17238,Shale,CBM,Mancos,11300.0,39.22203,-111.1069,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,26-2,43015302440000.0,924.0,,Cretaceous,1999-03-26,8.0,2.4,20.0,13.0,8434.884,16.0,2410.0,2.2,21.0,1.3,7.7,4570.0,569.8489999999999,6.4,2.908,-1.3,Great Plains,1.3
17239,Shale,CBM,Mancos,13700.0,39.22228,-111.10214,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,26-4,43015302460000.0,884.0,,Cretaceous,1996-08-27,7.7,2.0,22.0,23.0,7905.554,23.0,3830.0,1.7,29.0,1.5,9.8,5800.0,2872.5690000000004,7.8,2.9168,3.6,Great Plains,1.5
17240,Shale,CBM,Mancos,12200.0,39.22228,-111.10214,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,26-4,43015302460000.0,884.0,,Cretaceous,1999-03-26,8.1,1.8,24.0,16.0,8348.543,16.0,2980.0,1.2,22.0,1.6,8.3,4890.0,89.609,7.2,2.4284600000000003,-1.3,Great Plains,1.6
17244,Shale,CBM,Mancos,10400.0,39.30413,-111.11289,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,35-14,43015302860000.0,1199.0,,Cretaceous,1997-08-28,7.8,3.1,20.0,7.0,8869.203,20.0,1640.0,2.2,44.0,1.9,11.0,4220.0,2422.68,4.4,2.9059,-1.2,Great Plains,1.9
17245,Shale,CBM,Mancos,11400.0,39.29478,-111.10344,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,35-15,43015302870000.0,1093.0,,Cretaceous,1997-08-28,7.9,3.7,9.4,17.0,9278.036,20.0,2010.0,2.2,32.0,1.1,9.4,4650.0,29.549,5.2,2.43394,-0.9,Great Plains,1.1
17246,Shale,CBM,Mancos,12400.0,39.24518,-111.10554,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,23-8,43015302450000.0,899.0,,Cretaceous,1996-08-26,7.4,3.7,29.0,19.0,8738.193,26.0,2750.0,1.7,27.0,0.92,15.0,5170.0,1.2,10.0,2.43446,1.7,Great Plains,0.92
17248,Shale,CBM,Mancos,14000.0,39.21822,-111.10187,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,35-5,43015302480000.0,895.0,,Cretaceous,1999-03-25,8.1,1.6,21.0,23.0,8503.334,14.0,4060.0,7.6,26.0,1.9,11.0,5540.0,2694.946,8.3,2.9168,-2.1,Great Plains,1.9
17250,Shale,CBM,Mancos,42700.0,39.65026,-110.78949,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,HS A-1,43007303490000.0,704.0,,Cretaceous,1999-03-22,7.6,1.9,120.0,33.0,4026.636,310.0,24800.0,24.0,100.0,4.1,180.0,15300.0,3560.118,58.0,3.0095,-4.4,Great Plains,4.1
17251,Shale,CBM,Mancos,29300.0,39.67775,-110.78963,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,HF A-2,43007302160000.0,1212.0,,Cretaceous,1999-03-22,7.6,4.7,190.0,10.0,1815.404,420.0,17300.0,66.0,86.0,3.9,130.0,10500.0,3837.241,56.0,3.0186,-2.3,Great Plains,3.9
17252,Shale,CBM,Mancos,21800.0,39.64188,-110.76425,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,HS A-4,43007303590000.0,675.0,,Cretaceous,1999-03-22,7.0,4.0,110.0,11.0,6422.942,98.0,10100.0,7.3,55.0,2.8,73.0,8310.0,3143.749,24.0,1.2908,-1.9,Great Plains,2.8
