IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
259,Shale,Shale Gas,Fayetteville,15416.0,35.4,-92.3,Arkansas,Van Buren,Arkoma Basin,Midcontinent,,,7084.5,,Mississippian,,,2.845,4.0,144.0,1223.1056,350.0,9896.0,10.0,0.0,4.731,75.0,4607.0,693.909,49.0,0.72577,-11.0,Oklahoma Platform,4.731
261,Shale,Shale Gas,Fayetteville,10934.0,35.4,-92.3,Arkansas,Van Buren,Arkoma Basin,Midcontinent,,,8372.9,,Mississippian,,,4.458,3.0,97.0,577.0913,284.0,6771.0,8.0,0.0,3.631,47.0,3152.0,455.33600000000007,26.0,0.8033700000000001,-10.5,Oklahoma Platform,3.631
3781,Sedimentary,Conventional Hydrocarbon,Unknown,134000.0,36.38194,-96.1692,Oklahoma,Osage,Cherokee Platform,Midcontinent,ECC #10,,3117.8,,,2001-03-07,6.7,2.9,339.0,285.0,244.0,5400.0,82100.0,27.0,100.0,8.0,2350.0,42400.0,0.23,905.0,0.15946,0.3,Oklahoma Platform,8.0
3782,Sedimentary,Conventional Hydrocarbon,Unknown,185000.0,36.3834,-96.171,Oklahoma,Osage,Cherokee Platform,Midcontinent,ECC#3,,3125.2,,,2001-03-07,6.1,8.7,461.0,364.0,105.0,11900.0,113000.0,31.0,650.0,38.0,2070.0,55000.0,0.37,514.0,30.2844,0.0,Oklahoma Platform,38.0
3783,Sedimentary,Conventional Hydrocarbon,Bartlesville,162000.0,36.34977,-96.13406,Oklahoma,Osage,Cherokee Platform,Midcontinent,Lebow #8,,4663.822076,,Pennsylvanian,2001-03-08,6.3,3.6,879.0,346.0,185.0,9960.0,99500.0,67.0,270.0,11.5,1830.0,48600.0,0.69,504.0,0.67554,-0.4,Oklahoma Platform,11.5
3784,Sedimentary,Conventional Hydrocarbon,Cleveland,123000.0,36.34512,-96.14837,Oklahoma,Osage,Cherokee Platform,Midcontinent,Millard #3,,3574.8,,Devonian,2001-03-08,6.4,1.8,311.0,335.0,146.0,6250.0,74500.0,28.0,110.0,6.0,1530.0,38100.0,0.16,521.0,0.6121000000000001,0.1,Oklahoma Platform,6.0
3785,Sedimentary,Conventional Hydrocarbon,Unknown,162000.0,36.38506,-96.17322,Oklahoma,Osage,Cherokee Platform,Midcontinent,ECC #5,,2453.722076,,,2001-03-09,6.4,6.9,309.0,320.0,118.0,9980.0,101000.0,24.0,480.0,27.0,1910.0,47000.0,0.37,505.0,0.8933600000000002,-2.3,Oklahoma Platform,27.0
3786,Sedimentary,Conventional Hydrocarbon,Cleveland,128000.0,36.34599,-96.14133,Oklahoma,Osage,Cherokee Platform,Midcontinent,Ungermann #1,,3953.902916,,Devonian,2001-03-09,6.3,1.8,396.0,338.0,182.0,6940.0,78500.0,38.0,150.0,7.1,1510.0,39200.0,0.23,502.0,0.6186,-0.6,Oklahoma Platform,7.1
45919,Sedimentary,Conventional Hydrocarbon,Atoka,66855.0,35.438,-93.453,Arkansas,Logan,Arkoma Basin,Midcontinent,A.r.e.c.i. #1,,3491.0,3530.0,Pennsylvanian,,,18.226000000000003,105.465,257.023,239.0,5610.0,41200.0,190.173,0.0,,839.0,18839.0,128.0,383.901,19.932832038,0.0,Oklahoma Platform,5.396064758300781
45920,Sedimentary,Conventional Hydrocarbon,Barton,117673.0,35.438,-93.453,Arkansas,Logan,Arkoma Basin,Midcontinent,Gulf #c-1 Areci,,6231.6,,,,,30.091,744.8819999999998,303.66,860.0,7240.0,71010.0,19.647,0.0,,1067.0,36521.0,975.0,330.429,0.7129900000000001,0.0,Oklahoma Platform,-48.08025360107422
45921,Sedimentary,Conventional Hydrocarbon,Atoka,63034.0,35.5700748391,-93.4598819976,Arkansas,Johnson,Arkoma Basin,Midcontinent,Gulf No. 1 Tackett,,6821.0,6902.0,Pennsylvanian,,,26.5804,264.415,290.787,562.0,945.0,35280.0,7.13,0.0,,127.0,23170.0,2950.0,267.8014,0.14259,0.0,Oklahoma Platform,63.13068389892578
46277,Sedimentary,Conventional Hydrocarbon,Cecil - Spiro,91459.0,35.43827,-93.48176,Arkansas,Johnson,Arkoma Basin,Midcontinent,Kettle-hut Shain 1,3071300290000.0,5645.0,,,1979-07-23,7.2,21.8943,228.4852,135.398,155.76,4651.0,53933.64,19.07,0.0,,826.49,29350.92,2521.85,192.463,2.1952000000000003,0.0,Oklahoma Platform,21.55255889892578
