IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
177,Sedimentary,Conventional Hydrocarbon,Fusselman,69000.0,31.9,-101.44,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10013.0,,Silurian,2014-01-23,7.63,19.0,72.51782,38.8,459.301,2190.0,39800.0,107.0,618.0,,403.0,22200.0,1580.0,59.3,0.7417,-1.7,Permian,-28.62488
178,Shale,Tight Oil,Cline,79900.0,31.91,-101.44,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9547.0,,Permian,2014-01-23,7.54,33.2,429.032,928.0,502.227,2450.0,46300.0,68.3,219.0,,329.0,25200.0,351.0,931.0,1.3708,-2.3,Permian,-46.696655
179,Sedimentary,Conventional Hydrocarbon,Wolfwood,127000.0,31.86,-101.47,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,8789.0,,Devonian - Pennsylvanian,2014-01-23,7.76,39.3,259.616,1050.0,362.054,8010.0,75100.0,97.9,276.0,,1130.0,36800.0,304.0,1850.0,1.0001,0.0,Permian,-38.54724
181,Sedimentary,Conventional Hydrocarbon,Fusselman,72400.0,31.98,-101.49,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10151.0,,Silurian,2014-01-23,7.4,15.9,39.91354,36.4,397.071,2470.0,40900.0,48.3,613.0,,474.0,22700.0,1530.0,66.1,0.7416,-1.1,Permian,-28.765993
182,Shale,Tight Oil,Cline,36800.0,31.97,-101.48,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,10151.0,,Permian,2014-01-23,7.79,38.0,549.408,861.0,996.27,569.0,21000.0,139.0,122.0,,79.3,13000.0,4491.258,262.0,14.204599999999996,-0.8,Permian,-154.5293
183,Shale,Conventional Hydrocarbon,Spraberry,138000.0,31.49,-101.64,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,9249.0,,Permian,2014-01-24,7.56,39.6,411.0,755.0,154.995,1440.0,82400.0,6.7,400.0,,370.0,47400.0,5675.49,830.0,2.6236,-3.0,Permian,-126.71033
184,Shale,Conventional Hydrocarbon,Spraberry,139000.0,31.48,-101.65,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,6831.0,,Permian,2014-01-24,7.12,31.0,376.0,758.0,382.169,1470.0,83300.0,11.2,360.0,,345.0,48100.0,2993.253,859.0,0.59129,-3.0,Permian,-132.5199
185,Sedimentary,Conventional Hydrocarbon,Dean,118000.0,31.51,-101.66,Texas,Reagan,Permian Basin,West Texas and Eastern New Mexico,,,7329.0,,Permian,2014-01-24,7.58,40.9,941.792,691.0,568.897,1650.0,71200.0,65.2,520.0,,317.0,39600.0,3555.4,1100.0,1.9616299999999995,-4.0,Permian,-96.099
186,Shale,Tight Oil,Wolfcamp,149000.0,31.57,-101.92,Texas,Upton,Permian Basin,West Texas and Eastern New Mexico,,,8225.0,,Permian,2014-01-24,7.35,27.4,58.093,816.0,451.064,3150.0,90400.0,18.2,769.0,,445.0,50000.0,368.0,787.0,0.6552,-3.4,Permian,-93.30017
187,Shale,Tight Oil,Wolfcamp,124000.0,31.57,-101.92,Texas,Upton,Permian Basin,West Texas and Eastern New Mexico,,,9639.0,,Permian,2014-01-24,7.51,30.6,200.402,630.0,1352.871,756.0,76400.0,13.0,819.0,,101.0,44400.0,547.0,341.0,0.5829000003,-4.5,Permian,-45.478394
188,Shale,Tight Oil,Wolfcamp,136000.0,31.53,-102.02,Texas,Upton,Permian Basin,West Texas and Eastern New Mexico,,,9816.0,,Permian,2014-01-24,7.53,34.5,159.34920000000002,644.0,1194.162,940.0,82600.0,14.3,930.0,,120.0,48200.0,981.0,195.0,1.4481000003,-4.3,Permian,-85.88806
189,Shale,Conventional Hydrocarbon,Spraberry,117000.0,32.06,-101.61,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,8662.1,,Permian,2014-02-13,7.96,30.5,157.0608,279.0,780.96,3690.0,65100.0,5.3260000000000005,489.0,,822.0,37800.0,1600.0,274.0,1.6150000003000002,0.8,Permian,-12.26404
190,Shale,Conventional Hydrocarbon,Spraberry,98400.0,32.07,-101.63,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,7385.0,,Permian,2014-02-13,7.76,48.8,618.007,491.0,442.806,2940.0,55600.0,7.5,227.0,,541.0,31400.0,4339.999,880.0,1.10308,0.0,Permian,-38.347534
191,Shale,Conventional Hydrocarbon,Spraberry,114000.0,32.08,-101.64,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,8968.9,,Permian,2014-02-13,7.58,45.5,1042.2,604.0,350.74,4550.0,63900.0,46.5,264.0,,815.0,34500.0,1094.2040000000002,1120.0,1.5917,0.3,Permian,-9.270388
192,Shale,Tight Oil,Cline,40700.0,31.98,-101.46,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9324.0,,Permian,2014-02-13,7.72,36.7,603.4219999999999,920.0,1107.507,659.0,22000.0,207.0,129.0,,84.7,13600.0,8042.052000000001,344.0,33.90910000000001,-0.6,Permian,-250.1753
193,Shale,Tight Oil,Cline,41400.0,31.98,-101.46,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9324.0,,Permian,2014-02-13,7.09,37.8,603.4219999999999,930.0,1114.693,687.0,22400.0,183.0,126.0,,88.7,13700.0,7878.269999999999,339.0,37.9162,-1.0,Permian,-251.64148
194,Shale,Tight Oil,Cline,36100.0,31.92,-101.47,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9324.0,,Permian,2014-02-13,7.68,31.9,543.962,585.0,833.561,649.0,19700.0,28.7,133.0,,94.3,12400.0,4554.7,295.0,0.2053999999999999,1.1,Permian,-133.5105
195,Shale,Tight Oil,Cline,99300.0,31.9,-101.48,Texas,Glasscock,Permian Basin,West Texas and Eastern New Mexico,,,9423.0,,Permian,2014-02-13,7.7,31.6,1270.99,1220.0,681.748,3360.0,54900.0,160.0,212.0,,430.0,30600.0,1636.536,1700.0,31.4474,0.1,Permian,-56.390015
196,Sedimentary,Conventional Hydrocarbon,Atoka,57200.0,32.0,-102.39,Texas,Ector,Permian Basin,West Texas and Eastern New Mexico,,,10906.0,,Pennsylvanian,2014-02-14,7.05,32.4,31.674200000000003,219.0,769.562,1730.0,31200.0,62.5,0.0,,274.0,18200.0,1050.0,85.5,1.4982099999999998,-0.8,Permian,-93.88855
197,Sedimentary,Conventional Hydrocarbon,Strawn,143000.0,31.98,-102.39,Texas,Ector,Permian Basin,West Texas and Eastern New Mexico,,,8035.4,,Pennsylvanian,2014-02-14,7.11,40.8,67.12929999999999,376.0,558.909,5740.0,79600.0,3.4,649.0,,1110.0,44000.0,965.0,193.0,1.36441,0.7,Permian,14.619749
198,Sedimentary,Conventional Hydrocarbon,Strawn,160000.0,31.98,-102.39,Texas,Ector,Permian Basin,West Texas and Eastern New Mexico,,,7741.0,,Pennsylvanian,2014-02-14,7.58,32.2,9.20905,525.0,700.091,5490.0,96000.0,47.7,725.0,,1310.0,54600.0,1180.0,184.0,3.1438,0.5,Permian,123.83948
