IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
3529,Sedimentary,Conventional Hydrocarbon,Charles,52400.0,48.27917,-105.19917,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,Goings 1-10,25085211180000.0,6250.0,,Mississippian,,7.76,133.0,0.055,71.9,227.0,1100.0,31100.0,0.223,510.0,18.9,203.0,18300.0,2210.0,47.7,2.6467,-2.7,Williston,18.9
3530,Sedimentary,Conventional Hydrocarbon,Charles,93100.0,48.19583,-105.115,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,Huber 2,25085050370000.0,5782.0,,Mississippian,,7.12,14.2,0.589,16.6,269.0,881.0,55700.0,3.42,462.0,4.66,134.0,34100.0,1760.0,53.4,1.9458,-2.0,Williston,4.66
3531,Sedimentary,Conventional Hydrocarbon,Charles,35900.0,48.26833,-105.15583,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 48,25085051380000.0,5973.0,,Mississippian,,6.78,10.4,0.319,10.5,296.0,793.0,21200.0,27.824,276.0,4.42,139.0,12600.0,1430.0,37.5,0.2702799999999999,-2.2,Williston,4.42
3532,Sedimentary,Conventional Hydrocarbon,Charles,250000.0,48.245,-105.13028,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 44-19H,25085216660000.0,8940.0,,Mississippian,,6.52,108.0,4.06,154.0,119.0,3700.0,156000.0,16.47,1670.0,17.0,457.0,92000.0,512.0,271.0,7.461000000000001,-1.6,Williston,17.0
3533,Sedimentary,Conventional Hydrocarbon,Charles,151000.0,48.28278,-105.15028,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,Cut Hair 1,25085051700000.0,5987.0,,Mississippian,,6.2,91.8,1.15,118.0,172.0,3390.0,92500.0,23.346,1350.0,15.6,477.0,54500.0,877.0,215.0,4.025,-0.3,Williston,15.6
3535,Sedimentary,Conventional Hydrocarbon,Charles,19400.0,48.28639,-105.18833,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,McGowan 3,25085051730000.0,6205.0,,Mississippian,,7.29,37.3,29.53172,18.3,294.0,439.0,10200.0,55.873000000000005,226.0,7.72,84.2,6290.0,1920.0,17.9,2.361,-4.4,Williston,7.72
3536,Sedimentary,Conventional Hydrocarbon,Charles,277000.0,48.2825,-105.17278,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,War Club 2,25085211060000.0,6250.0,,Mississippian,,6.32,176.0,1.6,218.0,112.0,6340.0,175000.0,0.598,2260.0,24.6,859.0,95500.0,518.0,399.0,5.20459692,-3.6,Williston,24.6
3537,Sedimentary,Conventional Hydrocarbon,Charles,59700.0,48.2175,-105.145,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 102,25085050670000.0,5742.0,,Mississippian,,7.65,12.4,0.623,16.7,247.0,879.0,35300.0,0.166,482.0,5.23,130.0,21000.0,1600.0,45.4,2.5537,-2.6,Williston,5.23
3538,Sedimentary,Conventional Hydrocarbon,Charles,173000.0,48.20306,-105.115,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 12,25085050490000.0,5800.0,,Mississippian,,7.23,17.3,0.547,18.7,225.0,860.0,107000.0,111.362,505.0,4.45,138.0,59100.0,2520.0,59.9,7.946299999999999,-7.6,Williston,4.45
3539,Sedimentary,Conventional Hydrocarbon,Charles,19900.0,48.27194,-105.21,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,MacDonald 1,25085051480000.0,6180.0,,Mississippian,,8.05,49.1,0.026,16.4,297.0,280.0,9220.0,39.482600000000005,152.0,9.97,52.2,6440.0,3100.0,12.3,0.53282,-5.0,Williston,9.97
3540,Sedimentary,Conventional Hydrocarbon,Charles,293000.0,48.23917,-105.14528,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 10-G,25085080090000.0,5797.0,,Mississippian,,6.28,100.0,3.43,145.0,86.3,3870.0,180000.0,27.166999999999994,1590.0,16.3,451.0,104000.0,482.0,279.0,8.236853640000001,-2.9,Williston,16.3
3541,Sedimentary,Conventional Hydrocarbon,Charles,52900.0,48.24667,-105.12333,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 21,25085051060000.0,6225.5,,Mississippian,,7.61,12.7,0.559,15.1,233.0,804.0,31000.0,14.6109,405.0,5.11,120.0,17800.0,1370.0,43.4,2.4357,-4.2,Williston,5.11
3542,Sedimentary,Conventional Hydrocarbon,Charles,53600.0,48.24667,-105.12333,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 21 (Field duplicate),25085051060000.0,5750.0,,Mississippian,,7.61,12.2,0.555,14.7,253.0,807.0,31700.0,15.387200000000002,412.0,5.03,122.0,18500.0,1500.0,42.8,2.4357,-3.6,Williston,5.03
3543,Sedimentary,Conventional Hydrocarbon,Charles,77200.0,48.23222,-105.09056,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 42,25085050860000.0,5890.0,,Mississippian,,7.66,14.0,0.943,18.2,189.0,8441.0,45900.0,52.4042,569.0,5.23,114.0,27000.0,1490.0,53.8,3.1093,9.9,Williston,5.23
3544,Sedimentary,Conventional Hydrocarbon,Charles,70600.0,48.19222,-105.10972,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 6,25085050340000.0,5786.0,,Mississippian,,7.52,13.8,0.669,14.7,199.0,737.0,42000.0,8.1095,487.0,4.87,107.0,25100.0,1770.0,44.3,2.5927,-3.1,Williston,4.87
3545,Sedimentary,Conventional Hydrocarbon,Charles,127000.0,48.22472,-105.08,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 66,25085050730000.0,5933.0,,Mississippian,,6.53,17.0,0.696,15.9,257.0,857.0,77100.0,39.211200000000005,555.0,4.54,124.0,44000.0,1890.0,55.6,2.5757,-5.6,Williston,4.54
3547,Sedimentary,Conventional Hydrocarbon,Charles,123000.0,48.2175,-105.08,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 88,25085050650000.0,5950.0,,Mississippian,,7.64,16.5,0.547,20.1,169.0,948.0,73000.0,68.4896,521.0,4.61,145.0,46400.0,1940.0,61.9,2.2164,-0.3,Williston,4.61
3548,Sedimentary,Conventional Hydrocarbon,Charles,59500.0,48.17583,-105.09333,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 104,25085050210000.0,5957.0,,Mississippian,,7.67,12.3,0.568,11.1,271.0,651.0,35300.0,29.592599999999997,381.0,4.68,92.9,21100.0,1770.0,38.0,0.77058,-3.4,Williston,4.68
3549,Shale,Conventional Hydrocarbon,Heath,46700.0,48.18333,-105.10167,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 101,25085050270000.0,6255.0,,Mississippian,,6.52,53.6,0.391,14.6,370.0,708.0,27500.0,4.2,120.0,7.88,59.3,16000.0,1610.0,35.6,0.48613144,-4.8,Williston,7.88
3550,Shale,Conventional Hydrocarbon,Heath,50200.0,48.19583,-105.10417,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU 7,25085050410000.0,5810.0,,Mississippian,,6.72,35.2,0.458,12.8,337.0,959.0,29500.0,54.50400000000002,321.0,8.55,129.0,24800.0,1590.0,41.3,1.56,13.6,Williston,8.55
3551,Sedimentary,Conventional Hydrocarbon,Charles,11100.0,48.26833,-105.20528,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,MacDonald 2,25085051410000.0,6139.0,,Mississippian,,7.78,9.27,4.84296,5.64,560.0,239.0,4190.0,41.311,78.7,4.85,37.6,3540.0,2400.0,9.85,0.011,-1.7,Williston,4.85
3552,Sedimentary,Conventional Hydrocarbon,Charles,14900.0,48.29,-105.18361,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,Richards 2-1,25085211350000.0,6308.0,,Mississippian,,7.35,14.8,3.635949999999999,8.81,283.0,382.0,7220.0,34.93,165.0,6.1,59.5,4940.0,1760.0,15.7,0.015,-1.3,Williston,6.1
3553,Sedimentary,Conventional Hydrocarbon,Charles,114000.0,48.19944,-105.105,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,EPU-15,25085050450000.0,5817.0,,Mississippian,,6.77,16.0,0.592,12.8,31.2,1030.0,67600.0,165.613,527.0,4.75,155.0,42500.0,1890.0,53.5,18.4903,-0.5,Williston,4.75
3554,Sedimentary,Conventional Hydrocarbon,Charles,37000.0,48.28639,-105.17833,Montana,Roosevelt,Williston Basin,Rocky Mountains and Northern Great Plains,Zimmerman 1H,25085210990000.0,7143.0,,Mississippian,,8.11,126.0,80.20489999999998,41.7,295.0,587.0,25700.0,57.994000000000014,427.0,13.2,96.6,16700.0,2790.0,23.9,1.7412000000000003,-0.8,Williston,13.2
