IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
20978,Sedimentary,Conventional Hydrocarbon,Madison,23568.0,39.49128,-110.76835,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,,,10058.0,10165.0,Mississippian,1958-05-01,7.1,199.76,96.4639,62.274,634.0,1530.0,11600.0,11.735,0.0,,396.0,6583.0,2825.0,57.185,0.3797999999999999,-0.1,Rocky Mountain,5.853834593476381
20979,Sedimentary,Conventional Hydrocarbon,Madison,35778.0,39.53511,-110.61743,Utah,Carbon,Uinta - Piceance Basin,Colorado Plateau and Basin and Range,,,7433.0,7986.0,Mississippian,1963-04-01,7.3,62.259,125.55559999999998,421.607,2269.0,1144.0,13100.0,26.802,0.0,,311.0,10956.0,8400.0,115.9417,0.3742,-2.0,Rocky Mountain,9.174127795849358
20980,Sedimentary,Conventional Hydrocarbon,Madison,54624.0,39.4045,-110.55795,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6998.0,7133.0,Mississippian,1957-02-01,6.8,82.04599999999999,10.6548,75.14174999999999,4030.0,1936.0,29000.0,183.395,0.0,,454.0,18537.0,2712.0,32.8118,21.3904,0.0,Rocky Mountain,3.5659270634191063
20981,Sedimentary,Conventional Hydrocarbon,Madison,51888.0,39.22628,-110.38982,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6963.0,7083.0,Mississippian,1962-12-01,6.0,51.97399999999999,11.127,106.345,3270.0,2400.0,29110.0,28.987,0.0,,486.0,16174.0,80.0,116.945,0.4039799999999999,-0.8,Rocky Mountain,7.04687234027443
20982,Sedimentary,Conventional Hydrocarbon,Madison,50845.0,39.18463,-110.41038,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,6736.0,6915.0,Mississippian,1962-08-01,7.0,14.828999999999995,985.682,268.69443199999995,1903.0,2640.0,28968.0,40.05435,0.0,,365.0,16169.0,800.0,474.46,0.23685,0.0,Rocky Mountain,33.47288716931216
20983,Sedimentary,Conventional Hydrocarbon,Madison,327283.0,38.97204,-110.21853,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,9555.0,9652.0,Mississippian,1961-04-01,5.5,45.206,514.773,545.127,1452.0,4370.0,196400.0,8.026,0.0,,1604.0,120957.0,2400.0,400.742,12.954,0.0,Rocky Mountain,35.862813501035994
20984,Sedimentary,Conventional Hydrocarbon,Madison,202907.0,38.85457,-110.03174,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,10053.0,10173.0,Mississippian,1958-08-01,6.5,39.504000000000005,39.353,361.738,257.0,9757.0,123703.0,18.63828,0.0,,1441.0,66729.0,670.0,273.567,6.2388,0.0,Rocky Mountain,7.910242282572248
20985,Sedimentary,Conventional Hydrocarbon,Madison,24074.0,38.79612,-110.27479,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,7500.0,7702.0,Mississippian,1959-08-01,6.9,30.364,8.485999999999999,50.43,769.0,1444.0,11670.0,3.714,0.0,,208.0,7283.0,3090.0,33.92200000000001,0.729,0.0,Rocky Mountain,2.745290628712797
20986,Sedimentary,Conventional Hydrocarbon,Madison,191344.0,38.81074,-110.14336,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,8210.0,8440.0,Mississippian,1961-10-01,6.9,28.336,40.86,188.148,465.0,5092.0,116000.0,129.4,0.0,,2916.0,65021.0,2086.0,84.52959999999999,13.208532,0.0,Rocky Mountain,4.847411601534826
20987,Sedimentary,Conventional Hydrocarbon,Madison,166549.0,38.81052,-110.06935,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,8709.0,8716.0,Mississippian,1962-12-01,6.5,26.388,21.12,229.057,378.0,5781.0,101000.0,42.231,0.0,,1453.0,56854.0,1275.0,157.113,5.027299999999999,0.0,Rocky Mountain,6.904117618982352
20988,Sedimentary,Conventional Hydrocarbon,Madison,147313.0,38.70909,-110.19973,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,7968.0,8067.0,Mississippian,1958-11-01,7.1,39.0115,49.0748,95.13,293.0,1957.0,85000.0,29.492,0.0,,384.0,54697.0,5131.0,27.414,7.878,0.0,Rocky Mountain,4.501494106922546
20989,Sedimentary,Conventional Hydrocarbon,Madison,30332.0,38.61369,-110.06385,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,6085.0,6220.0,Mississippian,1958-07-01,7.6,29.585,49.755,50.275,439.0,1382.0,15000.0,12.91,0.0,,234.0,9689.0,3811.0,27.567,0.6816000000000001,0.0,Rocky Mountain,2.7550942032308035
20991,Sedimentary,Conventional Hydrocarbon,Madison,31775.0,38.62194,-111.3887,Utah,Sevier,Paradox Basin,Colorado Plateau and Basin and Range,,,6361.0,6386.0,Mississippian,1961-01-01,5.5,17.044,52.953,64.35,439.0,560.0,15052.0,30.053000000000004,0.0,,1069.0,9655.0,5000.0,30.3019,0.8327000000000002,0.0,Rocky Mountain,3.1911549775455716
20992,Sedimentary,Conventional Hydrocarbon,Madison,11751.0,38.601,-109.81047,Utah,Grand,Paradox Basin,Colorado Plateau and Basin and Range,,,7602.0,7630.0,Mississippian,1962-07-01,7.5,17.755000000000003,5.518000000000001,25.794,1300.0,640.0,6106.0,15.948000000000002,0.0,,4.0,3052.0,240.0,32.1504,0.9468,-9.2,Rocky Mountain,2.4522949816285364
20994,Sedimentary,Conventional Hydrocarbon,Madison,12767.0,38.56299,-110.42792,Utah,Emery,Paradox Basin,Colorado Plateau and Basin and Range,,,5619.0,5750.0,Mississippian,1959-11-01,7.5,13.403,18.20113,43.526,488.0,1089.0,5040.0,24.384,0.0,,277.0,3117.0,3004.0,23.125800000000005,0.7308000000000001,0.0,Rocky Mountain,2.5909073313016595
