IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
4989,Sedimentary,Conventional Hydrocarbon,Mission Canyon,301013.0,46.09486,-102.11551,North Dakota,Adams,Williston Basin,Rocky Mountains and Northern Great Plains,Soelberg     23-7,33001000060000.0,6220.0,6310.0,Mississippian,1978-01-02,5.59,92.52,3.4790000000000005,1936.0080000000005,116.0,20942.0,188000.0,24.0,0.0,,3586.0,88000.0,345.0,967.362,2.4167568,-1.4,Williston,67.91295033726003
4990,Sedimentary,Conventional Hydrocarbon,Red River,304460.0,46.09486,-102.11551,North Dakota,Adams,Williston Basin,Rocky Mountains and Northern Great Plains,Soelberg     23-7,33001000060000.0,8355.0,8414.0,Ordovician,1978-01-02,5.43,45.172,122.55100000000002,1275.865,43.0,21844.0,190000.0,107.0,0.0,,2796.0,89500.0,170.0,739.7389999999999,52.14000000000001,-1.4,Williston,44.55719897618536
4991,Sedimentary,Conventional Hydrocarbon,Tyler,292586.0,46.87682,-103.50688,North Dakota,Billings,Williston Basin,Rocky Mountains and Northern Great Plains,Medora Heath-madison Unit     01,33007000730000.0,7768.0,7710.0,Pennsylvanian,1965-03-05,6.4,31.717,119.786,411.992,85.0,15240.0,178800.0,50.192,0.0,,1280.0,96415.0,766.0,447.287,26.986,0.0,Williston,20.50643878015802
4992,Sedimentary,Conventional Hydrocarbon,Madison,100135.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.1,26.0853,113.77900000000002,132.95999999999998,305.0,4450.0,58000.0,60.0,413.0,,595.0,34000.0,2300.0,156.688,1.5052567199999998,2.1,Williston,11.731412344877345
4993,Sedimentary,Conventional Hydrocarbon,Madison,110199.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.12,22.367,0.2070999999999999,157.78400000000002,268.0,3870.0,66100.0,62.0,347.0,,952.0,36400.0,2200.0,71.6866,3.38325672,-1.3,Williston,6.352183111971246
4994,Sedimentary,Conventional Hydrocarbon,Madison,123248.0,48.93894,-100.83303,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Sveen     2,33009016280000.0,3198.0,3250.0,Mississippian,1983-11-22,6.19,23.585,26.063700000000004,179.13500000000002,146.0,4840.0,71800.0,35.0,360.0,,952.0,42800.0,2300.0,114.28149999999998,2.35225672,2.7,Williston,8.705240388584565
4995,Sedimentary,Conventional Hydrocarbon,Madison,159981.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.03,64.027,172.26546000000002,255.762756,61.0,7360.0,97000.0,7.0,1700.0,,1547.0,50800.0,1500.0,311.684,3.3115969199999995,-0.4,Williston,18.695540396825404
4996,Sedimentary,Conventional Hydrocarbon,Madison,191282.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.52,262.2033,157.70657,371.883,165.0,5620.0,113500.0,3.0,9600.0,,1190.0,59700.0,1500.0,497.025,10.327,-0.2,Williston,32.37605904761906
4997,Sedimentary,Conventional Hydrocarbon,Madison,180821.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.58,249.8013,277.28726000000006,363.121,201.0,5620.0,108700.0,3.0,8000.0,,1190.0,55400.0,1700.0,419.477,4.279000000000001,-1.8,Williston,29.93651643097644
4998,Sedimentary,Conventional Hydrocarbon,Madison,191777.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.58,286.48130000000003,134.01383,494.2,207.0,5230.0,113500.0,3.0,11100.0,,1428.0,58800.0,1500.0,385.907,8.206,-0.2,Williston,34.828985108225105
4999,Sedimentary,Conventional Hydrocarbon,Madison,177289.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.63,193.8873,177.12781,380.368,232.0,5620.0,105800.0,9.0,6000.0,,1428.0,56400.0,1800.0,395.563,7.693,-0.3,Williston,25.456902933621933
5000,Sedimentary,Conventional Hydrocarbon,Madison,159718.0,48.69247,-100.88854,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Tvedt     44-8,33009016330000.0,3463.0,3481.0,Mississippian,1983-11-22,6.76,127.26699999999998,281.05499999999995,339.29213,92.0,7550.0,95900.0,2.0,2660.0,,714.0,51500.0,1300.0,587.9179999999999,3.067,0.2,Williston,44.21043690476191
5001,Sedimentary,Conventional Hydrocarbon,Madison,37574.0,48.98983,-100.77784,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Cawdor Et Al     2,33009016350000.0,3060.0,3086.0,Mississippian,1983-12-19,7.64,19.4554,40.14509,56.144000000000005,177.0,1288.0,18910.0,13.543,108.0,,141.0,13000.0,3950.0,30.012,2.0191,2.0,Williston,4.763991640211637
5002,Sedimentary,Conventional Hydrocarbon,Tyler,293582.0,46.87682,-103.50688,North Dakota,Billings,Williston Basin,Rocky Mountains and Northern Great Plains,Medora Heath-madison Unit     01,33007000730000.0,7668.0,7710.0,Pennsylvanian,1966-03-14,6.8,21.538,156.78000000000003,219.13900000000004,49.0,13080.0,179200.0,21.672,0.0,,1300.0,99129.0,824.0,495.982,23.9153,0.0,Williston,20.76687353841197
5003,Sedimentary,Conventional Hydrocarbon,Madison,28599.0,48.98983,-100.77784,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Cawdor Et Al     2,33009016350000.0,3060.0,3086.0,Mississippian,1983-12-19,8.1,28.3345,311.156,160.91000000000005,153.0,1096.0,12550.0,25.717,73.0,,47.0,9730.0,4950.0,136.94400000000002,2.2098999999999998,2.6,Williston,17.50716507936508
5004,Sedimentary,Conventional Hydrocarbon,Madison,159108.0,48.71767,-100.98592,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,O.m. Sveen     1,33009016510000.0,3828.0,3870.0,Mississippian,1984-06-04,7.28,80.0418,12.84851,150.9506,183.0,5720.0,91600.0,2.0,690.0,,483.0,54800.0,4911.0,215.751,5.347700000000001,0.7,Williston,13.032229422550632
5005,Sedimentary,Conventional Hydrocarbon,Madison,159447.0,48.71767,-100.98592,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,O.m. Sveen     1,33009016510000.0,3828.0,3870.0,Mississippian,1984-06-04,7.33,20.0588,49.1134,222.8556,195.0,6290.0,93800.0,7.711,680.0,,604.0,53500.0,4165.0,221.473,6.241732000000001,-0.5,Williston,7.77391141322472
5006,Sedimentary,Conventional Hydrocarbon,Madison,145435.0,48.71767,-100.98592,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,O.m. Sveen     1,33009016510000.0,3828.0,3870.0,Mississippian,1984-06-04,7.36,83.86600000000001,865.765,368.6,10.0,4190.0,82600.0,2.0,779.0,,1208.0,49400.0,6970.0,1301.636,3.407,0.0,Williston,145.35858333333329
5007,Sedimentary,Conventional Hydrocarbon,Madison,159511.0,48.71767,-100.98592,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,O.m. Sveen     1,33009016510000.0,3828.0,3870.0,Mississippian,1984-06-04,8.52,69.529,5.31502,225.7616,366.0,5720.0,93800.0,1.0,640.0,,483.0,53500.0,4782.0,200.16,1.41663,-1.5,Williston,11.04733450985222
5008,Sedimentary,Conventional Hydrocarbon,Madison,146116.0,48.71767,-100.98592,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,O.m. Sveen     1,33009016510000.0,3828.0,3870.0,Mississippian,1984-06-06,7.1,22.669,610.626,599.8,165.0,3430.0,84900.0,40.6,661.0,,966.0,49800.0,6174.0,1643.3,2.9156299999999997,-1.9,Williston,182.65800642297543
5009,Sedimentary,Conventional Hydrocarbon,Mission Canyon,286070.0,48.69216,-101.2801,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Bengston     1-8,33009017180000.0,4290.0,4314.0,Mississippian,1985-02-07,6.14,52.047,37.7805,308.192886,110.0,7080.0,172800.0,213.0,2850.0,,1219.0,100200.0,1546.0,314.39730000000003,17.326200057,-0.2,Williston,14.390256984126987
5010,Sedimentary,Conventional Hydrocarbon,Mission Canyon,281399.0,48.69216,-101.2801,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Bengston     1-8,33009017180000.0,4290.0,4314.0,Mississippian,1985-02-07,6.56,125.374,3.4999,227.43,342.0,6490.0,169600.0,16.0,2280.0,,1829.0,98700.0,1818.0,159.93189999999998,6.521600000000001,0.0,Williston,10.193583816425122
5011,Sedimentary,Conventional Hydrocarbon,Mission Canyon,154587.0,48.69216,-101.2801,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Bengston     1-8,33009017180000.0,4290.0,4314.0,Mississippian,1985-02-07,6.75,83.1818,322.2357,501.389,293.0,4330.0,91300.0,2.0,930.0,,487.0,55300.0,1623.0,323.79,2.15553,1.3,Williston,27.17820494179894
5012,Sedimentary,Conventional Hydrocarbon,Mission Canyon,269445.0,48.69216,-101.2801,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Bengston     1-8,33009017180000.0,4290.0,4314.0,Mississippian,1985-02-07,6.85,110.559,45.495000000000005,593.948,305.0,8260.0,162100.0,3.0,1490.0,,487.0,96000.0,184.0,1350.5318796,4.575799999999999,0.9,Williston,124.49344299682436
5013,Sedimentary,Conventional Hydrocarbon,Tyler,278002.0,46.86247,-103.52796,North Dakota,Billings,Williston Basin,Rocky Mountains and Northern Great Plains,Medora Heath-madison Unit     08,33007000740000.0,7618.0,7655.0,Pennsylvanian,1965-03-05,6.5,24.214,222.9567,372.548,100.0,12000.0,169400.0,33.417,0.0,,1280.0,94177.0,1045.0,476.055,9.986,0.0,Williston,25.786349417989417
5014,Sedimentary,Conventional Hydrocarbon,Madison,186138.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3008.0,3026.0,Mississippian,1986-03-12,6.8,36.312,9.523011,224.009,218.8114,5110.0,109900.0,10.79,1070.0,,980.0,63700.0,5327.0,90.1809,5.5036000000000005,-1.2,Williston,10.387368123535639
5015,Sedimentary,Conventional Hydrocarbon,Madison,192935.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3008.0,3026.0,Mississippian,1986-03-12,7.06,74.49820000000001,330.7071,284.389,146.0,5700.0,115200.0,1.0,1180.0,,367.0,66100.0,4240.0,198.253,13.604,-1.8,Williston,22.48872063492063
5016,Sedimentary,Conventional Hydrocarbon,Madison,168570.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3008.0,3026.0,Mississippian,1986-03-12,7.1,72.7196,11.367900000000002,182.409,146.0,4720.0,100300.0,2.0,1060.0,,735.0,57000.0,4562.0,90.3003,3.2132567199999995,-2.2,Williston,13.157694978106193
5017,Sedimentary,Conventional Hydrocarbon,Madison,179410.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3008.0,3026.0,Mississippian,1986-03-12,7.11,69.98400000000001,16.3715,160.186,220.0,4520.0,105600.0,1.0,1000.0,,1102.0,61700.0,5203.0,100.567,6.1446000000000005,-1.1,Williston,12.903339105090321
5018,Sedimentary,Conventional Hydrocarbon,Madison,183072.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3008.0,3026.0,Mississippian,1986-03-12,7.13,72.09200000000001,12.25829,224.009,201.0,5110.0,108800.0,2.0,1090.0,,857.0,62200.0,4730.0,87.49350000000001,6.1446000000000005,-1.8,Williston,13.053184660645876
5019,Sedimentary,Conventional Hydrocarbon,Madison,173271.0,48.92798,-100.65686,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Trend Hearonemus 23-21     1,33009017770000.0,3014.0,3026.0,Mississippian,1986-03-19,6.4,15.474,14.70347,215.153,122.0,4330.0,102400.0,88.0,910.0,,980.0,60700.0,3741.0,64.72373000000002,25.62,-0.1,Williston,4.341270767535323
5020,Sedimentary,Conventional Hydrocarbon,Mission Canyon,254971.0,48.59079,-101.19823,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Routledge     1-13,33009018050000.0,11219.69,,Mississippian,1987-12-16,6.17,251.20000000000005,333.477,750.6,391.0,5700.0,150900.0,167.0,3340.0,,1348.0,90200.0,2924.0,1057.9,30.7492,0.9,Williston,62.58616882142858
5021,Sedimentary,Conventional Hydrocarbon,Lodgepole,191416.0,48.97154,-100.7557,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Joraanstad 43-3     1,33009018240000.0,3043.0,3062.0,Mississippian,1988-04-24,5.76,23.202,65.366818,166.211,101.0,4402.0,113610.0,34.0,400.0,,835.0,69200.0,2631.0,113.503,6.1606000000000005,0.7,Williston,10.078381514126216
5022,Sedimentary,Conventional Hydrocarbon,Lodgepole,222670.0,48.97154,-100.7557,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Joraanstad 43-3     1,33009018240000.0,3043.0,3062.0,Mississippian,1988-04-24,6.12,35.166,9.9484,192.07,85.0,5412.0,133302.0,15.0,590.0,,531.0,80100.0,2374.0,118.7653,5.727596920000002,0.0,Williston,10.589690827007136
5023,Sedimentary,Conventional Hydrocarbon,Lodgepole,220095.0,48.97154,-100.7557,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Joraanstad 43-3     1,33009018240000.0,3043.0,3062.0,Mississippian,1988-04-24,6.38,20.403,56.79050000000001,148.635,129.0,5412.0,130489.0,7.0,580.0,,588.0,80700.0,1892.0,180.5573,6.800632,1.6,Williston,9.198195396029437
5024,Sedimentary,Conventional Hydrocarbon,Tyler,163501.0,46.86247,-103.52796,North Dakota,Billings,Williston Basin,Rocky Mountains and Northern Great Plains,Medora Heath-madison Unit     08,33007000740000.0,7692.0,7750.0,Pennsylvanian,1965-03-05,6.5,35.2,21.907000000000004,313.678,185.0,9530.0,99800.0,50.501,0.0,,750.0,52685.0,551.0,431.5201,2.4668,0.0,Williston,10.710508231734385
5025,Sedimentary,Conventional Hydrocarbon,Lodgepole,192754.0,48.97154,-100.7557,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Joraanstad 43-3     1,33009018240000.0,3043.0,3062.0,Mississippian,1988-04-24,6.59,16.708,75.87997999999999,146.53900000000002,131.0,4690.0,114692.0,7.0,380.0,,664.0,69400.0,2544.0,94.0552,6.800632,0.4,Williston,9.69542687515705
5026,Sedimentary,Conventional Hydrocarbon,Madison,162020.0,48.96052,-100.64587,North Dakota,Bottineau,Williston Basin,Rocky Mountains and Northern Great Plains,Patrick-olson     1-9,33009018280000.0,3028.0,3053.0,Mississippian,1988-05-30,6.28,70.059,10.524131,166.061,378.0,3825.0,95865.0,1.0,550.0,,1006.0,56500.0,3789.0,96.8886,1.03486672,-0.8,Williston,10.817663874931585
